,Unnamed: 0,ID,School Name_x,Total Grads % of cohort,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Collaborative Teachers - Percent Positive,Collaborative Teachers Rating,Economic Need Index,Effective School Leadership - Percent Positive,Effective School Leadership Rating,Enrollment,Percent Asian,Percent Black,Percent English Language Learners,Percent HRA Eligible,Percent Hispanic,Percent Self-Contained,Percent Students with Disabilities,Percent White,Percent in Temp Housing,Percent in Temp Housing - 4yr,Percent of Students Chronically Absent,Percent of teachers with 3 or more years of experience,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How effective is the teaching and learning?,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How well do teachers work with each other?,Quality Review - How well does the school assess what students are learning?,Rigorous Instruction - Percent Positive,Rigorous Instruction Rating,Strong Family-Community Ties - Percent Positive,Strong Family-Community Ties Rating,Student Achievement Rating,Student Attendance Rate,Supportive Environment - Percent Positive,Supportive Environment Rating,Teacher Attendance Rate,Trust - Percent Positive,Trust Rating,Years of principal experience at this school,target
301,312,21K572_2015,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADER,79.1,2.39,2.36,97.0,4,63.5,96.0,4,271,15.5,17.3,17.3,47.2,42.1,0.4,16.6,23.2,10.0,10.0,43.5,72.7,4,3,4,4,4,95.0,4,74.0,3,4,87.7,90.0,4,97.9,97.0,4,3.9,1
302,313,21K620_2015,WILLIAM E GRADY CAREER AND TECHNICAL EDUCATION HIG,57.1,2.22,2.13,88.0,2,66.6,82.0,3,613,5.4,68.7,5.5,52.4,18.1,12.9,28.9,6.4,8.0,8.0,40.3,92.9,2,2,2,2,2,90.0,2,77.0,3,2,82.3,77.0,2,96.1,89.0,3,1.7,0
303,314,21K690_2015,BROOKLYN STUDIO SECONDARY SCHOOL,71.5,2.56,2.42,75.0,2,60.8,69.0,2,901,16.2,5.1,10.0,46.5,25.0,2.9,18.9,53.3,3.7,3.7,31.7,86.9,3,2,3,3,2,85.0,2,67.0,1,3,89.6,82.0,3,96.2,78.0,2,4.6,0
304,315,22K405_2015,MIDWOOD HIGH SCHOOL,89.6,3.06,3.05,80.0,3,51.7,68.0,2,3787,33.7,29.8,3.3,38.1,12.5,1.5,6.7,23.3,3.9,3.9,17.0,88.6,3,3,3,3,3,87.0,3,65.0,1,3,93.9,86.0,3,96.0,82.0,2,2.0,1
305,316,22K425_2015,JAMES MADISON HIGH SCHOOL,77.0,2.63,2.59,93.0,3,51.5,88.0,3,3088,21.2,17.4,10.4,39.5,16.7,3.7,13.6,44.3,4.9,4.9,17.2,87.3,3,2,2,4,3,90.0,2,70.0,2,3,92.2,77.0,3,96.1,89.0,3,1.8,1
306,317,22K495_2015,SHEEPSHEAD BAY HS,50.4,2.23,2.15,78.0,0,62.9,71.0,0,562,14.8,52.3,24.0,47.3,19.2,10.1,16.9,13.3,9.3,9.3,54.8,83.3,3,2,2,3,2,81.0,0,69.0,0,0,77.4,81.0,0,94.7,82.0,0,3.5,0
307,318,22K535_2015,LEON M GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,94.4,3.31,3.31,81.0,4,36.2,67.0,1,1081,18.7,10.2,0.6,23.8,10.6,0.1,12.9,59.1,2.3,2.3,8.8,87.3,4,3,3,4,3,87.0,3,65.0,0,4,96.1,85.0,4,96.7,83.0,0,2.8,1
308,319,22K555_2015,BROOKLYN COLLEGE ACADEMY,97.4,3.12,2.9,92.0,3,45.9,88.0,3,605,7.9,72.2,0.2,31.1,9.1,0.7,6.0,4.6,2.8,2.8,9.1,82.1,3,4,4,4,3,88.0,4,74.0,2,3,95.9,88.0,4,97.6,93.0,3,10.0,1
309,320,23K493_2015,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,56.3,2.23,2.07,87.0,2,69.8,79.0,2,353,1.4,87.5,2.5,50.1,9.6,7.1,23.8,0.3,10.8,10.8,58.3,66.7,2,2,2,3,3,89.0,2,76.0,3,2,79.1,80.0,2,96.1,85.0,2,11.0,0
310,321,23K514_2015,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55.0,2.24,2.07,81.0,3,71.0,85.0,3,319,0.0,88.1,2.2,53.3,11.3,2.5,27.6,0.3,15.4,15.4,52.8,55.0,3,3,3,4,3,83.0,3,71.0,2,2,78.1,80.0,3,97.1,87.0,3,8.5,0
311,322,23K644_2015,EAGLE ACADEMY FOR YOUNG MEN II,91.4,2.26,2.06,87.0,3,68.5,86.0,3,576,0.0,85.3,1.9,48.4,11.9,0.3,21.5,1.9,6.7,6.7,30.8,38.1,3,3,3,4,3,87.0,3,82.0,3,4,90.9,85.0,4,96.5,93.0,4,7.0,1
312,323,23K697_2015,TEACHERS PREPARATORY HIGH SCHOOL,61.4,2.28,2.11,82.0,3,71.2,76.0,2,390,0.3,83.0,3.1,53.5,15.7,11.3,22.6,0.6,8.8,8.8,43.9,88.9,3,2,2,3,3,84.0,2,73.0,2,3,81.5,76.0,2,96.3,81.0,2,4.8,0
313,324,24Q264_2015,ACADEMY OF FINANCE AND ENTERPRISE,92.7,2.7,2.72,89.0,4,50.9,83.0,3,478,22.0,7.1,4.6,37.7,51.9,0.4,10.9,15.3,2.5,2.5,20.7,84.0,4,3,3,4,4,83.0,3,76.0,3,4,92.8,87.0,3,97.4,92.0,3,3.0,1
314,325,24Q267_2015,HIGH SCHOOL OF APPLIED COMMUNICATION,82.2,2.46,2.41,92.0,4,55.7,88.0,3,421,15.9,12.6,6.2,43.0,54.4,4.0,13.8,13.5,4.0,4.0,29.6,91.7,4,3,3,4,4,93.0,4,75.0,3,3,88.2,83.0,3,96.4,93.0,3,6.8,1
315,326,24Q293_2015,CIVIC LEADERSHIP ACADEMY,86.0,2.48,2.4,90.0,3,64.0,81.0,3,479,9.8,7.9,4.6,51.8,71.8,0.2,15.7,5.6,3.5,3.5,30.4,80.0,3,2,3,4,2,85.0,2,73.0,2,4,90.2,90.0,4,96.6,89.0,3,7.0,1
316,327,24Q296_2015,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,66.7,1.8,1.94,87.0,3,58.9,75.0,2,378,0.3,0.0,78.6,29.4,99.7,0.5,3.7,0.0,16.1,16.1,28.6,28.0,3,2,2,3,2,90.0,2,88.0,4,3,89.7,87.0,3,96.5,89.0,3,2.9,0
317,328,24Q299_2015,BARD HIGH SCHOOL EARLY COLLEGE QUEENS,96.5,3.7,3.79,88.0,4,30.7,91.0,4,623,34.2,11.4,0.0,17.0,17.0,0.0,1.1,34.5,1.1,1.1,3.4,66.7,4,4,4,4,4,94.0,4,74.0,3,4,97.4,92.0,4,98.1,92.0,4,6.9,1
318,329,24Q455_2015,NEWTOWN HIGH SCHOOL,56.7,2.31,2.29,93.0,4,57.1,88.0,3,1921,24.0,8.3,28.0,40.7,61.4,0.5,11.8,4.3,5.5,5.5,33.8,84.3,4,3,3,4,3,90.0,3,70.0,2,3,86.6,85.0,4,96.2,93.0,3,22.8,0
319,330,24Q485_2015,GROVER CLEVELAND HIGH SCHOOL,60.8,2.35,2.28,75.0,3,61.2,63.0,1,1828,9.7,4.5,21.2,44.3,65.7,5.0,16.8,18.9,8.0,8.0,47.0,93.5,4,2,3,3,3,82.0,2,68.0,2,2,82.2,77.0,2,95.7,83.0,2,3.8,0
320,331,24Q520_2015,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY,66.4,2.36,2.38,88.0,2,59.2,86.0,3,514,8.4,4.7,0.0,45.9,79.6,0.0,15.4,7.0,2.3,2.3,21.1,100.0,2,3,3,3,3,94.0,3,72.0,2,3,92.8,87.0,3,93.1,94.0,4,7.8,0
321,332,24Q530_2015,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY C,80.8,1.91,2.37,98.0,4,61.9,96.0,4,509,39.3,2.6,63.1,41.8,45.0,0.0,1.6,13.0,15.5,15.5,23.7,80.0,4,4,3,4,3,96.0,4,88.0,4,4,91.6,94.0,4,96.6,98.0,4,0.9,1
322,333,24Q550_2015,HIGH SCHOOL FOR ARTS AND BUSINESS,90.4,2.48,2.43,94.0,4,63.2,89.0,3,870,10.2,7.8,7.6,49.8,77.2,0.0,15.1,4.1,5.1,5.1,30.0,91.7,4,3,4,4,3,92.0,3,76.0,3,4,90.4,90.0,4,96.2,93.0,4,7.9,1
323,334,24Q560_2015,ROBERT F WAGNER JR SECONDARY SCHOOL FOR ARTS AND T,81.8,2.59,2.58,90.0,3,51.3,86.0,3,610,19.2,4.9,6.0,41.6,64.3,0.0,13.4,10.9,1.7,1.7,29.8,88.2,3,3,3,3,3,91.0,3,68.0,1,3,90.8,87.0,3,96.1,91.0,3,0.9,1
324,335,24Q585_2015,MASPETH HIGH SCHOOL,97.0,2.91,2.81,86.0,3,41.0,82.0,3,973,17.5,2.0,2.0,28.4,44.6,0.0,11.5,35.8,1.4,1.4,24.7,16.7,3,3,3,4,3,78.0,2,70.0,2,4,92.4,84.0,3,98.1,85.0,2,4.0,1
325,336,24Q600_2015,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,74.2,2.56,2.57,90.0,4,59.6,84.0,3,1553,12.1,5.8,3.8,46.6,74.6,3.9,13.9,7.3,3.7,3.7,22.8,83.5,4,3,3,4,3,89.0,3,71.0,2,3,90.7,82.0,3,96.3,91.0,3,4.8,1
326,337,24Q610_2015,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,85.4,2.78,2.93,90.0,4,53.9,86.0,3,2168,30.9,6.3,2.6,41.1,49.0,4.5,9.1,11.0,3.0,3.0,10.3,86.0,4,3,4,4,3,89.0,3,70.0,2,4,95.1,83.0,4,95.8,91.0,3,5.8,1
327,338,25Q252_2015,QUEENS SCHOOL OF INQUIRY THE,92.6,3.0,2.82,87.0,2,44.3,82.0,3,557,36.2,19.5,1.3,28.7,21.8,0.0,11.4,19.2,1.0,1.0,17.5,86.0,2,3,4,4,2,81.0,3,73.0,2,3,94.2,85.0,3,95.7,89.0,3,4.9,1
328,339,25Q263_2015,FLUSHING INTERNATIONAL HIGH SCHOOL,66.7,1.83,2.42,98.0,4,55.9,98.0,4,437,55.6,2.5,81.7,37.5,38.4,0.2,2.3,2.5,8.9,8.9,25.0,82.1,3,3,3,4,3,93.0,3,75.0,3,3,92.1,90.0,4,98.1,96.0,4,3.8,0
329,340,25Q281_2015,EASTWEST SCHOOL OF INTERNATIONAL STUDIES,88.5,2.67,2.81,88.0,4,53.8,85.0,3,666,60.7,14.9,10.1,41.1,18.3,1.6,11.4,5.3,4.5,4.5,29.2,57.1,4,3,4,4,3,89.0,3,74.0,2,3,91.3,84.0,3,96.8,91.0,3,9.0,1
330,341,25Q285_2015,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHO,91.4,2.9,2.55,92.0,4,29.3,85.0,3,610,15.8,9.1,0.3,19.3,22.7,0.5,20.3,50.3,2.9,2.9,23.8,75.7,4,4,4,3,4,92.0,4,76.0,2,4,92.3,83.0,3,97.1,91.0,3,9.0,1
331,342,25Q425_2015,JOHN BOWNE HIGH SCHOOL,67.8,2.41,2.39,89.0,4,57.3,81.0,3,3667,29.4,18.4,20.2,43.3,46.0,5.5,13.0,4.5,5.2,5.2,41.6,83.6,4,3,3,4,3,87.0,3,66.0,1,3,82.4,78.0,3,96.0,86.0,2,8.8,0
332,343,25Q460_2015,FLUSHING HIGH SCHOOL,55.9,2.34,2.27,80.0,2,55.4,57.0,1,2186,20.3,23.7,20.7,40.3,51.1,3.7,13.9,3.7,5.9,5.9,45.8,93.6,2,2,2,2,2,81.0,2,61.0,1,2,83.0,75.0,2,96.3,76.0,1,0.9,0
333,344,25Q525_2015,TOWNSEND HARRIS HIGH SCHOOL,100.0,3.96,4.04,84.0,4,27.4,85.0,3,1132,58.6,6.3,0.0,15.9,11.6,1.0,1.4,21.9,1.1,1.1,2.9,88.7,4,4,4,4,4,87.0,4,71.0,2,4,97.6,91.0,4,96.7,92.0,3,2.8,1
334,345,25Q670_2015,ROBERT F KENNEDY COMMUNITY HIGH SCHOOL,84.8,2.41,2.4,90.0,3,57.5,89.0,3,701,31.2,13.0,10.3,44.7,35.5,0.3,19.0,18.3,4.1,4.1,24.8,92.7,3,4,3,4,4,84.0,3,73.0,2,3,92.1,83.0,4,95.7,92.0,3,4.0,1
335,346,26Q415_2015,BENJAMIN N CARDOZO HIGH SCHOOL,88.5,2.86,2.86,86.0,2,35.5,80.0,3,3505,44.1,20.3,4.7,24.3,19.4,4.0,10.8,14.9,3.0,3.0,18.5,98.7,2,3,3,3,2,87.0,3,66.0,1,3,93.3,81.0,3,95.7,89.0,3,7.0,1
336,347,26Q430_2015,FRANCIS LEWIS HIGH SCHOOL,80.4,2.87,2.93,91.0,2,41.4,85.0,3,4172,53.9,7.4,11.3,29.4,23.1,5.7,13.2,14.9,3.9,3.9,17.2,76.1,2,2,3,4,2,88.0,2,67.0,2,4,93.3,90.0,4,96.4,92.0,3,1.8,1
337,348,26Q435_2015,MARTIN VAN BUREN HIGH SCHOOL,52.9,2.31,2.15,83.0,3,49.1,76.0,2,1742,27.0,52.7,10.9,36.3,13.0,5.2,11.8,3.6,5.9,5.9,42.8,95.7,3,2,2,3,2,84.0,2,72.0,2,2,84.4,74.0,2,96.6,84.0,2,3.0,0
338,349,26Q495_2015,BAYSIDE HIGH SCHOOL,89.4,2.82,2.76,85.0,3,37.6,77.0,2,3336,40.3,13.0,4.9,26.5,27.9,3.6,14.1,18.1,3.4,3.4,20.2,84.9,3,3,3,4,4,84.0,3,66.0,1,4,93.1,79.0,3,96.1,86.0,3,6.9,1
339,350,26Q566_2015,QUEENS HIGH SCHOOL OF TEACHING LIBERAL ARTS AND TH,89.8,2.6,2.47,77.0,2,32.1,75.0,2,1120,24.8,48.1,1.9,22.6,17.5,0.2,19.9,8.4,2.2,2.2,25.1,78.0,3,3,4,4,4,79.0,3,74.0,2,3,92.0,80.0,3,96.0,85.0,3,3.6,1
340,351,27Q260_2015,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,39.8,2.22,2.04,72.0,1,70.5,72.0,2,409,1.5,59.7,8.6,57.0,37.9,4.2,21.3,0.7,8.6,8.6,46.0,95.8,2,2,3,3,3,80.0,2,70.0,2,2,82.5,76.0,2,95.3,82.0,2,0.9,0
341,352,27Q262_2015,CHANNEL VIEW SCHOOL FOR RESEARCH,79.3,2.52,2.34,96.0,4,55.1,90.0,4,683,6.0,53.2,1.9,40.4,29.1,0.2,14.0,10.7,5.8,5.8,34.4,82.4,4,3,4,4,4,94.0,4,77.0,3,4,90.4,88.0,3,96.6,94.0,4,0.7,1
342,353,27Q302_2015,QUEENS HIGH SCHOOL FOR INFORMATION RESEARCH AND TE,50.6,2.23,2.02,94.0,3,61.1,93.0,4,381,4.2,49.1,18.6,45.1,43.6,1.3,17.8,2.1,6.8,6.8,44.7,68.2,3,2,2,3,2,88.0,2,80.0,3,2,86.0,79.0,3,95.1,92.0,3,0.9,0
343,354,27Q308_2015,ROBERT H GODDARD HIGH SCHOOL OF COMMUNICATION ARTS,91.2,2.63,2.46,95.0,3,49.6,92.0,4,602,29.4,7.3,2.8,36.9,41.7,3.8,15.1,17.6,4.0,4.0,27.4,83.3,3,2,3,3,3,86.0,3,71.0,2,4,92.1,87.0,3,97.1,94.0,4,4.8,1
344,355,27Q309_2015,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCH,62.1,2.32,2.12,85.0,4,66.7,78.0,3,637,6.6,50.1,8.5,48.4,37.7,0.5,16.8,2.7,5.4,5.4,46.0,57.4,4,3,3,4,3,79.0,3,73.0,2,3,83.7,84.0,3,96.7,88.0,3,7.0,0
345,356,27Q323_2015,SCHOLARS' ACADEMY,99.2,3.64,3.42,96.0,4,40.3,93.0,4,1302,21.4,22.7,0.0,19.6,19.6,0.0,1.2,34.7,11.2,11.2,13.1,68.9,4,4,4,4,4,93.0,4,79.0,3,4,95.3,92.0,4,96.6,95.0,4,10.0,1
346,357,27Q324_2015,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAI,52.8,2.27,2.06,87.0,3,68.2,84.0,3,368,3.5,46.7,5.2,54.1,30.2,1.4,19.8,14.7,8.4,8.4,60.1,59.3,3,3,4,4,3,83.0,3,77.0,3,2,78.2,79.0,3,95.3,90.0,3,4.4,0
347,358,27Q351_2015,ROCKAWAY COLLEGIATE HIGH SCHOOL,49.0,2.28,2.06,78.0,2,68.8,73.0,2,397,5.0,52.6,5.5,52.6,33.5,1.0,21.4,3.8,7.8,7.8,49.1,53.6,3,3,3,3,3,77.0,2,72.0,2,2,80.8,77.0,3,94.7,81.0,2,1.0,0
348,359,27Q400_2015,AUGUST MARTIN HIGH SCHOOL,24.1,2.19,2.03,80.0,3,58.1,73.0,2,679,7.5,75.4,6.8,43.3,13.0,1.0,21.4,1.5,11.3,11.3,59.3,86.0,3,2,2,2,2,86.0,2,69.0,2,1,78.9,75.0,2,93.6,79.0,1,3.2,0
349,360,27Q475_2015,RICHMOND HILL HIGH SCHOOL,51.9,2.29,2.18,75.0,2,59.6,62.0,1,2175,31.4,13.6,21.3,45.5,48.2,6.2,16.0,5.4,6.1,6.1,41.9,87.9,3,2,3,3,2,86.0,2,66.0,1,2,85.3,79.0,3,95.6,80.0,2,1.8,0
350,361,27Q480_2015,JOHN ADAMS HIGH SCHOOL,59.1,2.28,2.18,80.0,3,59.1,75.0,2,2634,31.0,23.9,19.4,42.2,37.9,4.7,15.6,2.9,12.9,12.9,46.9,80.1,3,2,3,3,2,84.0,2,68.0,2,3,82.5,76.0,2,94.8,83.0,2,3.0,0
351,362,27Q650_2015,HIGH SCHOOL FOR CONSTRUCTION TRADES ENGINEERING AN,94.4,2.84,2.86,91.0,4,46.1,83.0,3,959,35.5,10.7,0.4,33.3,35.6,0.1,11.2,12.3,1.4,1.4,15.1,79.3,4,4,4,4,3,82.0,3,76.0,3,4,94.3,88.0,4,96.5,91.0,3,5.3,1
352,363,28Q284_2015,YORK EARLY COLLEGE ACADEMY,92.9,2.93,2.66,91.0,3,42.8,83.0,3,611,28.7,58.0,0.0,26.9,10.3,0.0,7.9,1.2,2.1,2.1,8.7,83.3,3,3,4,4,3,90.0,3,78.0,3,4,96.2,88.0,4,96.8,91.0,3,9.0,1
353,364,28Q310_2015,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,72.8,2.47,2.33,83.0,2,54.9,72.0,2,661,24.8,53.4,9.1,36.1,16.1,4.1,12.3,4.1,5.5,5.5,37.6,58.3,2,3,3,3,2,86.0,3,72.0,2,3,86.3,83.0,3,95.6,84.0,2,7.0,0
354,365,28Q325_2015,HILLSIDE ARTS & LETTERS ACADEMY,76.0,2.38,2.21,95.0,3,59.8,92.0,4,464,27.8,37.7,10.8,44.6,24.4,1.1,10.8,3.0,7.1,7.1,39.6,58.6,3,3,3,4,2,91.0,3,74.0,3,3,86.3,87.0,3,97.5,95.0,4,5.0,1
355,366,28Q328_2015,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,79.3,2.31,2.22,95.0,4,56.3,95.0,4,418,22.7,42.3,15.6,40.9,26.6,0.5,15.1,4.5,8.4,8.4,52.0,43.3,4,3,3,4,3,91.0,3,85.0,4,4,83.0,91.0,3,97.9,97.0,4,5.0,1
356,367,28Q350_2015,JAMAICA GATEWAY TO THE SCIENCES,89.3,2.6,2.59,94.0,3,47.8,92.0,4,516,40.7,42.6,9.3,33.5,10.9,0.4,9.9,2.3,6.0,6.0,29.6,46.7,3,3,3,4,3,90.0,3,70.0,2,4,90.7,86.0,3,97.5,95.0,4,4.0,1
357,368,28Q440_2015,FOREST HILLS HIGH SCHOOL,85.0,2.84,2.76,87.0,4,45.2,78.0,2,3840,24.6,9.6,5.7,33.4,33.8,6.0,12.8,30.0,3.2,3.2,23.2,90.1,4,3,3,4,3,85.0,3,65.0,1,3,91.1,81.0,3,96.1,86.0,3,7.3,1
358,369,28Q505_2015,HILLCREST HIGH SCHOOL,68.5,2.46,2.33,92.0,4,52.8,90.0,4,3286,34.5,30.3,13.7,38.5,28.8,1.9,10.3,3.8,6.6,6.6,28.0,84.8,4,4,4,4,3,91.0,4,98.0,4,3,90.0,100.0,4,95.7,97.0,4,1.4,0
359,370,28Q620_2015,THOMAS A EDISON CAREER AND TECHNICAL EDUCATION HIG,85.8,2.92,2.89,86.0,3,44.7,81.0,3,2098,49.0,20.9,0.9,32.5,22.4,4.8,11.2,4.2,1.8,1.8,15.8,86.5,3,3,3,4,3,85.0,3,64.0,1,3,93.8,80.0,3,96.6,85.0,2,2.8,1
360,371,28Q680_2015,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,95.5,3.28,2.98,59.0,3,41.0,45.0,1,779,43.3,38.2,0.2,29.8,14.2,0.0,6.8,2.9,1.6,1.6,9.6,87.5,4,3,4,4,4,85.0,3,66.0,1,4,95.5,82.0,4,95.6,64.0,1,3.2,1
361,372,28Q686_2015,QUEENS METROPOLITAN HIGH SCHOOL,91.0,2.6,2.44,88.0,4,41.0,86.0,3,1035,11.0,4.2,3.2,30.5,46.9,2.8,15.5,35.7,2.4,2.4,26.1,77.8,4,3,3,4,4,87.0,3,73.0,2,4,91.1,85.0,3,97.4,90.0,3,3.0,1
362,373,28Q687_2015,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEG,97.9,3.78,3.98,92.0,3,31.1,88.0,3,426,75.4,7.0,0.0,18.5,10.6,0.0,0.0,6.1,1.9,1.9,4.7,92.3,3,3,3,3,2,92.0,3,69.0,2,4,96.9,94.0,0,94.6,90.0,3,1.8,1
363,374,28Q690_2015,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74.1,2.41,2.25,80.0,2,55.6,77.0,2,604,10.4,66.4,2.2,44.2,18.9,8.6,18.9,1.8,5.1,5.1,20.0,87.5,2,3,2,3,2,81.0,2,66.0,1,2,92.7,75.0,3,94.2,84.0,2,1.5,1
364,375,28Q896_2015,YOUNG WOMEN'S LEADERSHIP SCHOOL QUEENS,86.3,2.63,2.29,85.0,2,49.6,80.0,3,557,26.9,47.5,1.9,39.4,19.7,0.0,16.3,1.9,3.1,3.1,30.0,77.1,2,2,3,4,2,83.0,2,76.0,2,3,91.1,79.0,3,95.7,87.0,3,2.0,1
365,376,29Q248_2015,QUEENS PREPARATORY ACADEMY,75.4,2.33,2.17,87.0,0,47.0,80.0,0,492,4.3,80.7,3.7,32.7,9.1,0.6,13.8,1.0,8.1,8.1,34.5,69.2,3,2,3,3,2,90.0,0,68.0,0,3,86.6,74.0,3,96.8,81.0,0,10.0,1
366,377,29Q259_2015,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOA,70.1,2.34,2.15,83.0,3,39.6,76.0,2,599,2.8,89.7,3.9,28.7,5.7,0.5,15.8,1.3,4.1,4.1,17.8,80.0,3,2,3,3,3,86.0,2,75.0,2,2,90.5,84.0,3,94.4,85.0,2,4.8,0
367,378,29Q265_2015,EXCELSIOR PREPARATORY HIGH SCHOOL,69.8,2.29,2.07,94.0,4,49.8,87.0,3,491,3.7,82.7,5.9,36.5,9.2,0.0,15.7,1.2,6.5,6.5,28.8,82.1,4,3,4,4,3,89.0,3,76.0,3,3,89.7,80.0,3,96.0,91.0,3,4.9,0
368,379,29Q272_2015,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIEN,69.3,2.48,2.3,91.0,3,48.2,85.0,3,509,9.4,75.6,2.0,35.6,11.4,1.4,13.4,1.8,6.7,6.7,28.9,73.1,3,2,3,3,3,84.0,2,76.0,3,2,90.1,79.0,3,95.5,92.0,3,11.0,0
369,380,29Q283_2015,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD S,74.1,2.56,2.3,93.0,4,46.4,92.0,4,552,4.2,81.0,0.8,36.7,8.4,0.0,15.6,2.4,4.5,4.5,30.6,72.7,4,4,3,4,3,94.0,4,81.0,3,3,89.1,88.0,4,96.5,91.0,3,5.9,1
370,381,29Q326_2015,CAMBRIA HEIGHTS ACADEMY,71.6,2.33,2.13,72.0,3,44.2,69.0,2,372,6.7,79.0,3.5,33.3,9.1,0.0,20.4,2.2,5.1,5.1,42.6,72.0,4,3,3,4,3,75.0,2,76.0,3,3,86.8,75.0,3,97.5,78.0,2,5.0,0
371,382,29Q492_2015,MATHEMATICS SCIENCE RESEARCH AND TECHNOLOGY MAGNET,64.4,2.34,2.29,79.0,2,50.1,74.0,2,433,9.9,72.3,6.5,38.1,11.8,0.2,12.0,1.6,6.9,6.9,30.5,66.7,2,2,3,3,3,78.0,2,70.0,2,3,89.2,78.0,3,94.2,84.0,2,5.8,0
372,383,29Q494_2015,LAW GOVERNMENT AND COMMUNITY SERVICE HS,63.9,2.24,2.08,83.0,0,49.8,80.0,0,132,5.3,81.1,3.0,37.1,12.9,0.8,19.7,0.8,6.8,6.8,36.3,100.0,2,2,2,3,3,90.0,0,86.0,0,0,84.3,77.0,0,96.8,89.0,0,5.3,0
373,384,29Q496_2015,BUSINESS COMPUTER APPLICATIONS & ENTREPRENEURSHIP,53.1,2.24,1.97,57.0,0,55.4,48.0,0,94,5.3,77.7,10.6,36.2,11.7,0.0,18.1,2.1,17.0,17.0,35.6,100.0,2,2,2,2,2,75.0,0,79.0,0,0,86.7,73.0,0,92.5,70.0,0,3.0,0
374,385,29Q498_2015,HUMANITIES & ARTS MAGNET HIGH SCHOOL,70.7,2.34,2.11,77.0,2,50.4,76.0,2,525,5.5,81.0,3.4,37.7,11.8,0.8,16.4,1.1,7.0,7.0,38.0,90.0,3,2,3,3,3,79.0,2,73.0,2,3,87.7,76.0,3,96.7,84.0,2,5.8,0
375,386,30Q286_2015,YOUNG WOMEN'S LEADERSHIP SCHOOL ASTORIA,95.9,2.83,2.69,95.0,3,56.1,78.0,3,572,37.7,4.7,3.4,40.2,38.0,0.0,8.4,19.6,2.5,2.5,14.1,58.3,3,2,3,3,3,90.0,3,74.0,2,3,94.3,91.0,4,98.4,87.0,3,1.3,1
376,387,30Q301_2015,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98.0,2.64,2.41,98.0,4,44.4,97.0,4,515,5.8,15.9,2.3,31.3,54.2,0.4,18.3,20.8,1.6,1.6,16.8,54.5,3,4,4,4,4,91.0,4,81.0,3,4,94.1,89.0,4,98.6,95.0,4,2.4,1
377,388,30Q445_2015,WILLIAM CULLEN BRYANT HIGH SCHOOL,67.4,2.42,2.43,71.0,2,55.8,60.0,1,2496,28.4,5.6,14.9,41.6,48.7,6.2,13.2,16.1,4.8,4.8,32.4,68.7,3,2,3,3,2,79.0,2,63.0,0,3,88.0,76.0,3,95.9,72.0,0,3.8,0
378,389,30Q450_2015,LONG ISLAND CITY HIGH SCHOOL,62.0,2.36,2.33,87.0,4,62.7,79.0,2,2123,15.7,13.5,11.9,49.1,60.2,1.6,17.6,9.0,5.2,5.2,50.5,93.8,4,3,3,4,3,87.0,3,65.0,1,2,80.2,82.0,3,95.4,87.0,3,3.0,0
379,390,30Q501_2015,FRANK SINATRA SCHOOL OF THE ARTS HS,94.8,3.32,3.02,87.0,4,29.4,79.0,2,808,10.5,13.6,0.4,17.0,33.4,0.0,7.3,38.7,1.2,1.2,10.4,84.8,4,3,4,4,3,84.0,3,75.0,3,4,94.9,88.0,4,96.3,90.0,3,10.8,1
380,391,30Q502_2015,INFORMATION TECHNOLOGY HIGH SCHOOL,73.3,2.42,2.43,84.0,3,59.3,79.0,2,970,18.2,14.9,8.7,45.1,56.3,5.3,18.0,9.4,7.2,7.2,30.5,89.1,3,2,3,3,2,85.0,2,72.0,2,3,89.9,81.0,3,96.1,87.0,3,3.3,1
