,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Collaborative Teachers - Percent Positive,Collaborative Teachers Rating,Economic Need Index,Effective School Leadership - Percent Positive,Effective School Leadership Rating,Enrollment,Percent Asian,Percent Black,Percent English Language Learners,Percent HRA Eligible,Percent Hispanic,Percent Self-Contained,Percent Students with Disabilities,Percent White,Percent in Temp Housing,Percent in Temp Housing - 4yr,Percent of Students Chronically Absent,Percent of teachers with 3 or more years of experience,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How effective is the teaching and learning?,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How well do teachers work with each other?,Quality Review - How well does the school assess what students are learning?,Rigorous Instruction - Percent Positive,Rigorous Instruction Rating,Strong Family-Community Ties - Percent Positive,Strong Family-Community Ties Rating,Student Achievement Rating,Student Attendance Rate,Supportive Environment - Percent Positive,Supportive Environment Rating,Teacher Attendance Rate,Trust - Percent Positive,Trust Rating,Years of principal experience at this school
700,1.84,2.36,0.0,3,0.929,0.87,3,366,0.366,0.06,0.855,0.413,0.292,0.005,0.027000000000000003,0.279,0.32,0.32,0.327,0.654,3,3,3,3,3,0.82,3,0.77,3,2,0.895,0.79,3,0.982,0.9,3,4.8
644,2.51,2.23,0.0,2,0.7120000000000001,0.61,1,589,0.031,0.643,0.07,0.528,0.255,0.065,0.205,0.042,0.097,0.097,0.488,0.556,4,3,4,3,3,0.69,3,0.78,3,3,0.8140000000000001,0.63,3,0.957,0.78,2,5.8
695,2.67,2.78,0.0,2,0.6940000000000001,0.89,3,3553,0.395,0.038,0.192,0.481,0.28800000000000003,0.066,0.161,0.269,0.09,0.09,0.329,0.862,3,2,3,2,3,0.85,3,0.74,2,3,0.8540000000000001,0.7,3,0.963,0.88,3,8.6
1177,2.71,2.29,0.0,4,0.556,0.98,4,495,0.246,0.406,0.123,0.38,0.255,0.016,0.147,0.02,0.065,0.065,0.381,0.828,4,4,4,4,3,0.88,4,0.85,3,4,0.852,0.81,3,0.971,0.95,4,2.0
513,2.51,2.29,0.0,3,0.857,0.74,2,336,0.012,0.214,0.11,0.726,0.765,0.039,0.259,0.003,0.119,0.119,0.441,0.5329999999999999,3,2,3,3,3,0.7,2,0.82,3,2,0.867,0.61,2,0.963,0.87,3,12.0
602,2.86,2.67,0.0,3,0.735,0.75,2,318,0.025,0.214,0.047,0.579,0.7040000000000001,0.006,0.129,0.038,0.07200000000000001,0.07200000000000001,0.362,0.7140000000000001,3,2,2,3,3,0.75,2,0.79,3,3,0.892,0.65,2,0.971,0.83,3,3.0
855,3.33,2.88,0.0,3,0.451,0.83,3,495,0.04,0.331,0.004,0.281,0.408,0.0,0.149,0.158,0.03,0.03,0.217,0.933,4,4,4,3,3,0.72,3,0.81,2,4,0.928,0.65,3,0.977,0.87,3,0.7
992,2.54,2.07,0.0,3,0.7120000000000001,0.89,3,317,0.038,0.457,0.12,0.498,0.461,0.006,0.259,0.025,0.158,0.158,0.514,0.7829999999999999,3,3,3,3,3,0.83,3,0.86,3,2,0.813,0.74,3,0.959,0.93,4,5.9
617,2.38,2.14,0.0,3,0.743,0.84,3,373,0.013,0.8340000000000001,0.038,0.531,0.129,0.011,0.29,0.019,0.174,0.174,0.517,1.0,3,2,3,3,3,0.76,3,0.8,3,3,0.774,0.65,2,0.955,0.85,3,6.0
328,1.83,2.42,98.0,4,55.9,98.0,4,437,55.6,2.5,81.7,37.5,38.4,0.2,2.3,2.5,8.9,8.9,25.0,82.1,3,3,3,4,3,93.0,3,75.0,3,3,92.1,90.0,4,98.1,96.0,4,3.8
704,3.14,3.09,0.0,4,0.5660000000000001,0.97,4,349,0.063,0.215,0.006,0.358,0.252,0.0,0.172,0.458,0.017,0.017,0.271,0.816,4,4,4,4,4,0.89,4,0.84,3,4,0.909,0.68,3,0.962,0.91,3,1.0
879,2.8,2.41,0.0,4,0.7390000000000001,0.89,3,498,0.024,0.376,0.066,0.542,0.5760000000000001,0.018000000000000002,0.177,0.018000000000000002,0.161,0.161,0.445,0.6859999999999999,3,4,3,4,4,0.83,4,0.86,3,2,0.84,0.69,2,0.96,0.91,3,5.8
