,ID,School Name_x,Total Grads % of cohort,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Collaborative Teachers - Percent Positive,Collaborative Teachers Rating,Economic Need Index,Effective School Leadership - Percent Positive,Effective School Leadership Rating,Enrollment,Percent Asian,Percent Black,Percent English Language Learners,Percent HRA Eligible,Percent Hispanic,Percent Self-Contained,Percent Students with Disabilities,Percent White,Percent in Temp Housing,Percent in Temp Housing - 4yr,Percent of Students Chronically Absent,Percent of teachers with 3 or more years of experience,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How effective is the teaching and learning?,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How well do teachers work with each other?,Quality Review - How well does the school assess what students are learning?,Rigorous Instruction - Percent Positive,Rigorous Instruction Rating,Strong Family-Community Ties - Percent Positive,Strong Family-Community Ties Rating,Student Achievement Rating,Student Attendance Rate,Supportive Environment - Percent Positive,Supportive Environment Rating,Teacher Attendance Rate,Trust - Percent Positive,Trust Rating,Years of principal experience at this school
378,29Q265_2015,EXCELSIOR PREPARATORY HIGH SCHOOL,69.8,2.29,2.07,94,4,49.8%,87%,3,491,3.7%,82.7%,5.9%,36.5%,9.2%,0.0%,15.7%,1.2%,6.5%,6.5%,28.8%,82.1%,4,3,4,4,3,89%,3,76%,3,3,89.7%,80%,3,96.0%,91%,3,4.9
379,29Q272_2015,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIEN,69.3,2.48,2.3,91,3,48.2%,85%,3,509,9.4%,75.6%,2.0%,35.6%,11.4%,1.4%,13.4%,1.8%,6.7%,6.7%,28.9%,73.1%,3,2,3,3,3,84%,2,76%,3,2,90.1%,79%,3,95.5%,92%,3,11.0
380,29Q283_2015,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD S,74.1,2.56,2.3,93,4,46.4%,92%,4,552,4.2%,81.0%,0.8%,36.7%,8.4%,0.0%,15.6%,2.4%,4.5%,4.5%,30.6%,72.7%,4,4,3,4,3,94%,4,81%,3,3,89.1%,88%,4,96.5%,91%,3,5.9
381,29Q326_2015,CAMBRIA HEIGHTS ACADEMY,71.6,2.33,2.13,72,3,44.2%,69%,2,372,6.7%,79.0%,3.5%,33.3%,9.1%,0.0%,20.4%,2.2%,5.1%,5.1%,42.6%,72.0%,4,3,3,4,3,75%,2,76%,3,3,86.8%,75%,3,97.5%,78%,2,5.0
382,29Q492_2015,MATHEMATICS SCIENCE RESEARCH AND TECHNOLOGY MAGNET,64.4,2.34,2.29,79,2,50.1%,74%,2,433,9.9%,72.3%,6.5%,38.1%,11.8%,0.2%,12.0%,1.6%,6.9%,6.9%,30.5%,66.7%,2,2,3,3,3,78%,2,70%,2,3,89.2%,78%,3,94.2%,84%,2,5.8
383,29Q494_2015,LAW GOVERNMENT AND COMMUNITY SERVICE HS,63.9,2.24,2.08,83,0,49.8%,80%,0,132,5.3%,81.1%,3.0%,37.1%,12.9%,0.8%,19.7%,0.8%,6.8%,6.8%,36.3%,100.0%,2,2,2,3,3,90%,0,86%,0,0,84.3%,77%,0,96.8%,89%,0,5.3
384,29Q496_2015,BUSINESS COMPUTER APPLICATIONS & ENTREPRENEURSHIP,53.1,2.24,1.97,57,0,55.4%,48%,0,94,5.3%,77.7%,10.6%,36.2%,11.7%,0.0%,18.1%,2.1%,17.0%,17.0%,35.6%,100.0%,2,2,2,2,2,75%,0,79%,0,0,86.7%,73%,0,92.5%,70%,0,3.0
385,29Q498_2015,HUMANITIES & ARTS MAGNET HIGH SCHOOL,70.7,2.34,2.11,77,2,50.4%,76%,2,525,5.5%,81.0%,3.4%,37.7%,11.8%,0.8%,16.4%,1.1%,7.0%,7.0%,38.0%,90.0%,3,2,3,3,3,79%,2,73%,2,3,87.7%,76%,3,96.7%,84%,2,5.8
386,30Q286_2015,YOUNG WOMEN'S LEADERSHIP SCHOOL ASTORIA,95.9,2.83,2.69,95,3,56.1%,78%,3,572,37.7%,4.7%,3.4%,40.2%,38.0%,0.0%,8.4%,19.6%,2.5%,2.5%,14.1%,58.3%,3,2,3,3,3,90%,3,74%,2,3,94.3%,91%,4,98.4%,87%,3,1.3
387,30Q301_2015,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98.0,2.64,2.41,98,4,44.4%,97%,4,515,5.8%,15.9%,2.3%,31.3%,54.2%,0.4%,18.3%,20.8%,1.6%,1.6%,16.8%,54.5%,3,4,4,4,4,91%,4,81%,3,4,94.1%,89%,4,98.6%,95%,4,2.4
388,30Q445_2015,WILLIAM CULLEN BRYANT HIGH SCHOOL,67.4,2.42,2.43,71,2,55.8%,60%,1,2496,28.4%,5.6%,14.9%,41.6%,48.7%,6.2%,13.2%,16.1%,4.8%,4.8%,32.4%,68.7%,3,2,3,3,2,79%,2,63%,0,3,88.0%,76%,3,95.9%,72%,0,3.8
389,30Q450_2015,LONG ISLAND CITY HIGH SCHOOL,62.0,2.36,2.33,87,4,62.7%,79%,2,2123,15.7%,13.5%,11.9%,49.1%,60.2%,1.6%,17.6%,9.0%,5.2%,5.2%,50.5%,93.8%,4,3,3,4,3,87%,3,65%,1,2,80.2%,82%,3,95.4%,87%,3,3.0
390,30Q501_2015,FRANK SINATRA SCHOOL OF THE ARTS HS,94.8,3.32,3.02,87,4,29.4%,79%,2,808,10.5%,13.6%,0.4%,17.0%,33.4%,0.0%,7.3%,38.7%,1.2%,1.2%,10.4%,84.8%,4,3,4,4,3,84%,3,75%,3,4,94.9%,88%,4,96.3%,90%,3,10.8
391,30Q502_2015,INFORMATION TECHNOLOGY HIGH SCHOOL,73.3,2.42,2.43,84,3,59.3%,79%,2,970,18.2%,14.9%,8.7%,45.1%,56.3%,5.3%,18.0%,9.4%,7.2%,7.2%,30.5%,89.1%,3,2,3,3,2,85%,2,72%,2,3,89.9%,81%,3,96.1%,87%,3,3.3
392,30Q555_2015,NEWCOMERS HIGH SCHOOL,71.2,1.79,2.26,87,4,60.1%,76%,2,993,36.7%,2.4%,76.8%,30.1%,54.6%,0.0%,1.0%,6.2%,25.4%,25.4%,24.7%,85.2%,4,4,4,4,4,88%,4,74%,3,3,90.8%,85%,4,96.2%,89%,3,5.8
393,30Q575_2015,ACADEMY OF AMERICAN STUDIES,88.1,2.97,2.91,87,3,44.2%,72%,2,874,29.3%,7.3%,3.1%,31.4%,34.3%,0.3%,8.9%,28.3%,1.3%,1.3%,14.8%,90.5%,3,3,4,4,3,83%,3,69%,2,3,94.1%,88%,4,95.3%,87%,3,3.8
394,30Q580_2015,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,100.0,3.72,3.54,81,2,27.6%,74%,2,478,39.6%,2.5%,0.0%,18.0%,21.2%,0.0%,0.9%,34.5%,0.3%,0.3%,5.1%,93.1%,2,2,3,4,3,88%,3,70%,1,4,96.6%,90%,4,96.7%,89%,3,8.4
395,31R047_2015,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,95.8,2.88,2.72,92,4,27.6%,90%,4,520,11.2%,8.8%,0.4%,17.3%,19.8%,0.0%,16.7%,55.6%,1.0%,1.0%,12.2%,83.9%,4,4,4,4,4,87%,4,78%,3,4,94.8%,88%,4,97.6%,92%,4,4.8
396,31R064_2015,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,80.2,2.67,2.46,84,3,31.8%,82%,3,479,3.3%,13.8%,0.2%,20.5%,19.0%,0.4%,23.4%,61.6%,1.7%,1.7%,25.7%,79.4%,3,3,2,3,3,89%,3,71%,2,3,91.1%,82%,3,97.8%,88%,3,6.0
397,31R080_2015,THE MICHAEL J PETRIDES SCHOOL,81.7,2.69,2.62,92,4,36.6%,90%,3,1327,6.9%,22.3%,1.1%,23.5%,20.2%,3.2%,21.4%,49.8%,0.4%,0.4%,29.6%,79.2%,4,3,4,4,4,93%,4,80%,2,3,90.2%,87%,3,97.8%,92%,3,11.3
398,31R440_2015,NEW DORP HIGH SCHOOL,76.1,2.52,2.32,92,4,45.8%,89%,4,2791,7.5%,12.1%,4.2%,34.5%,27.8%,6.3%,19.9%,51.8%,7.3%,7.3%,23.8%,77.6%,4,3,4,4,4,86%,4,70%,2,3,89.0%,82%,3,96.7%,92%,3,16.1
399,31R445_2015,PORT RICHMOND HIGH SCHOOL,61.0,2.34,2.18,89,3,59.4%,85%,3,1628,7.0%,27.9%,5.7%,45.9%,42.8%,11.2%,26.6%,21.7%,6.3%,6.3%,34.1%,91.2%,3,3,3,3,3,89%,3,75%,3,3,87.5%,80%,3,96.1%,91%,3,10.4
400,31R450_2015,CURTIS HIGH SCHOOL,75.6,2.45,2.26,82,3,61.6%,74%,2,2499,7.1%,38.4%,6.1%,45.3%,36.0%,4.0%,19.0%,17.7%,10.8%,10.8%,36.0%,87.7%,4,3,4,4,4,76%,3,66%,1,3,86.4%,78%,3,96.6%,84%,2,11.8
401,31R455_2015,TOTTENVILLE HIGH SCHOOL,86.4,2.83,2.66,81,3,24.8%,71%,2,3982,5.1%,1.8%,0.9%,16.6%,11.8%,4.6%,16.3%,79.9%,3.1%,3.1%,27.3%,85.7%,3,3,3,4,3,79%,2,67%,2,3,91.2%,80%,3,96.5%,82%,2,1.0
402,31R460_2015,SUSAN E WAGNER HIGH SCHOOL,76.5,2.75,2.58,86,4,39.7%,79%,3,3363,13.4%,10.9%,2.0%,28.3%,27.0%,8.9%,20.2%,47.7%,4.1%,4.1%,28.2%,86.0%,4,4,4,4,3,87%,4,66%,2,3,90.9%,82%,3,96.4%,88%,3,12.9
403,31R600_2015,RALPH R MCKEE CAREER AND TECHNICAL EDUCATION HIGH,59.4,2.36,2.21,79,3,60.4%,79%,2,624,4.8%,30.8%,2.4%,45.7%,42.5%,6.9%,26.4%,19.7%,6.7%,6.7%,36.0%,90.0%,3,2,3,4,2,82%,2,65%,1,3,87.3%,78%,3,96.6%,84%,2,8.0
404,31R605_2015,STATEN ISLAND TECHNICAL HIGH SCHOOL,99.0,3.85,3.94,94,4,25.0%,92%,4,1247,41.1%,1.0%,0.0%,12.7%,5.2%,0.0%,1.3%,52.2%,2.9%,2.9%,6.2%,79.7%,4,3,4,4,4,91%,4,68%,2,4,96.5%,95%,4,96.1%,96%,4,1.8
405,32K168_2015,THE BROOKLYN SCHOOL FOR MATH AND RESEARCH,73.5,2.33,2.35,90,3,70.9%,87%,3,247,2.4%,53.8%,10.1%,56.3%,38.1%,0.4%,17.8%,4.5%,10.5%,10.5%,38.7%,27.8%,3,3,4,4,4,87%,4,84%,4,3,87.5%,81%,3,97.6%,92%,3,4.0
406,32K403_2015,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,68.8,2.07,2.01,77,3,78.6%,66%,1,340,1.8%,19.4%,32.4%,62.6%,77.1%,7.6%,25.6%,1.5%,12.6%,12.6%,53.9%,60.7%,4,3,3,4,3,78%,3,73%,2,3,81.5%,82%,3,97.4%,84%,2,0.4
407,32K545_2015,EBC HIGH SCHOOL FOR PUBLIC SERVICE  BUSHWICK,60.5,2.13,2.1,77,2,80.7%,78%,2,514,0.4%,8.0%,20.0%,68.7%,90.7%,0.2%,20.0%,0.2%,7.8%,7.8%,41.8%,80.6%,3,2,2,3,2,80%,2,74%,2,3,84.7%,83%,3,93.4%,86%,3,3.8
408,32K549_2015,THE BROOKLYN SCHOOL FOR SOCIAL JUSTICE,64.0,2.16,2.03,92,3,76.8%,90%,3,405,0.5%,20.5%,21.5%,59.3%,76.0%,0.7%,19.5%,2.5%,13.1%,13.1%,49.8%,77.4%,3,3,3,3,2,87%,3,81%,3,3,79.9%,83%,3,95.6%,93%,3,1.0
409,32K552_2015,THE ACADEMY OF URBAN PLANNING AND ENGINEERING,55.6,2.04,1.94,93,4,80.8%,86%,3,279,0.7%,23.3%,29.0%,64.9%,73.8%,4.3%,28.7%,0.7%,15.4%,15.4%,53.9%,68.0%,4,3,3,3,3,86%,3,78%,3,3,82.1%,81%,3,96.8%,91%,3,2.4
410,32K554_2015,ALL CITY LEADERSHIP SECONDARY SCHOOL,85.0,2.98,2.59,99,4,66.7%,92%,4,358,6.2%,14.6%,3.4%,51.7%,77.0%,0.0%,10.7%,1.7%,1.7%,1.7%,15.6%,93.3%,4,4,3,4,4,92%,4,83%,3,3,93.9%,96%,4,97.3%,98%,4,12.0
411,32K556_2015,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLEN,61.1,2.08,2.0,83,4,82.2%,81%,3,317,0.9%,16.7%,19.6%,66.9%,81.4%,0.6%,24.0%,0.3%,17.7%,17.7%,59.0%,53.8%,4,3,3,3,3,83%,3,82%,3,2,82.4%,83%,2,97.3%,89%,3,11.4
412,01M292_2016,ORCHARD COLLEGIATE ACADEMY,52.3,2.31,2.09,,3,0.8809999999999999,0.89,3,160,0.131,0.225,0.15,0.638,0.6,0.013000000000000001,0.319,0.038,0.225,0.225,0.524,0.591,3,2,2,3,2,0.8,2,0.83,3,2,0.8109999999999999,0.73,2,0.972,0.91,3,0.9
413,01M448_2016,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,75.8,2.6,2.54,,3,0.7709999999999999,0.95,4,343,0.28,0.27399999999999997,0.13699999999999998,0.5479999999999999,0.414,0.009000000000000001,0.198,0.028999999999999998,0.198,0.198,0.256,0.5770000000000001,4,3,4,3,3,0.91,4,0.85,3,4,0.9079999999999999,0.76,4,0.966,0.92,3,6.5
414,01M450_2016,EAST SIDE COMMUNITY SCHOOL,80.0,2.97,2.93,,4,0.591,0.96,4,386,0.122,0.21,0.016,0.42,0.5539999999999999,0.005,0.23600000000000002,0.083,0.057,0.057,0.198,0.82,4,3,4,4,4,0.92,4,0.94,4,3,0.927,0.84,4,0.975,0.95,4,14.8
415,01M509_2016,MARTA VALLE HIGH SCHOOL,58.1,2.54,2.24,,3,0.794,0.64,1,272,0.033,0.423,0.081,0.643,0.522,0.063,0.27899999999999997,0.018000000000000002,0.154,0.154,0.615,0.741,2,2,2,3,2,0.74,2,0.82,3,2,0.8029999999999999,0.64,2,0.961,0.75,2,1.0
416,01M539_2016,NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY AND MATH,99.5,3.72,3.83,,2,0.278,0.61,1,655,0.359,0.11900000000000001,0.002,0.23199999999999998,0.179,0.0,0.06,0.31,0.032,0.032,0.146,0.574,4,4,4,3,4,0.79,4,0.9,3,4,0.94,0.74,3,0.9620000000000001,0.75,2,1.0
417,01M696_2016,BARD HIGH SCHOOL EARLY COLLEGE,96.9,3.9,3.99,,4,0.376,0.86,3,535,0.228,0.163,0.0,0.23199999999999998,0.16399999999999998,0.0,0.009000000000000001,0.424,0.034,0.034,0.153,0.871,4,3,4,4,3,0.87,3,0.86,3,4,0.9420000000000001,0.83,3,0.978,0.87,3,5.8
418,02M047_2016,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,82.8,2.65,2.36,,4,0.7,0.85,3,186,0.016,0.26899999999999996,0.059000000000000004,0.532,0.634,0.091,0.237,0.065,0.10800000000000001,0.10800000000000001,0.419,0.684,4,3,4,4,3,0.82,3,0.82,3,3,0.88,0.71,3,0.988,0.87,3,8.0
419,02M139_2016,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIG,,2.5,2.32,,4,0.7140000000000001,0.92,4,282,0.027999999999999997,0.266,0.067,0.539,0.628,0.004,0.294,0.06,0.106,0.106,0.43200000000000005,0.25,4,3,3,4,3,0.75,3,0.83,3,0,0.867,0.68,3,0.978,0.9,3,3.0
420,02M288_2016,FOOD AND FINANCE HIGH SCHOOL,88.3,2.68,2.48,,3,0.7020000000000001,0.72,2,410,0.046,0.40700000000000003,0.028999999999999998,0.551,0.527,0.005,0.163,0.015,0.102,0.102,0.324,0.7929999999999999,4,4,4,3,3,0.79,3,0.75,2,2,0.89,0.67,3,0.9570000000000001,0.84,3,12.0
421,02M294_2016,ESSEX STREET ACADEMY,79.5,2.71,2.34,,4,0.65,0.94,4,356,0.059000000000000004,0.382,0.039,0.461,0.43,0.003,0.275,0.076,0.067,0.067,0.35200000000000004,0.84,4,3,4,4,4,0.84,4,0.89,4,3,0.87,0.8,3,0.9690000000000001,0.95,4,0.6
422,02M296_2016,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,74.0,2.46,2.25,,4,0.735,0.85,3,402,0.04,0.239,0.085,0.5670000000000001,0.679,0.037000000000000005,0.19399999999999998,0.022000000000000002,0.102,0.102,0.44299999999999995,0.9259999999999999,3,3,3,4,3,0.83,3,0.81,3,3,0.835,0.73,3,0.975,0.87,3,3.8
423,02M298_2016,PACE HIGH SCHOOL,89.0,2.85,2.65,,4,0.6759999999999999,0.89,4,478,0.098,0.318,0.017,0.523,0.513,0.002,0.159,0.015,0.069,0.069,0.299,0.833,4,3,4,4,3,0.82,3,0.83,3,3,0.903,0.71,3,0.9740000000000001,0.91,3,0.7
424,02M300_2016,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION T,66.7,2.46,2.38,,3,0.7440000000000001,0.84,3,400,0.04,0.27,0.075,0.56,0.64,0.013000000000000001,0.223,0.03,0.15,0.15,0.52,0.615,3,3,3,3,3,0.69,3,0.8,3,2,0.82,0.65,2,0.975,0.88,3,7.9
425,02M303_2016,FACING HISTORY SCHOOL THE,68.9,2.4,2.15,,4,0.7979999999999999,0.92,4,409,0.02,0.27899999999999997,0.18100000000000002,0.633,0.66,0.002,0.242,0.027000000000000003,0.13699999999999998,0.13699999999999998,0.473,0.5760000000000001,4,3,4,4,3,0.84,3,0.86,3,3,0.818,0.82,3,0.966,0.94,4,4.9
426,02M305_2016,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW THE,83.1,2.57,2.31,,3,0.752,0.8,3,331,0.06,0.39899999999999997,0.042,0.583,0.498,0.003,0.23600000000000002,0.039,0.139,0.139,0.44299999999999995,0.44,3,2,3,3,3,0.71,2,0.74,2,3,0.856,0.61,2,0.972,0.81,2,2.0
427,02M308_2016,LOWER MANHATTAN ARTS ACADEMY,71.8,2.59,2.34,,3,0.6920000000000001,0.86,3,353,0.09300000000000001,0.275,0.04,0.524,0.552,0.027999999999999997,0.314,0.027999999999999997,0.105,0.105,0.34299999999999997,0.731,4,3,3,3,3,0.83,3,0.79,3,3,0.882,0.67,3,0.97,0.81,2,11.0
428,02M316_2016,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,63.3,2.57,2.26,,3,0.7040000000000001,0.84,3,359,0.036000000000000004,0.5539999999999999,0.05,0.535,0.35100000000000003,0.008,0.201,0.019,0.086,0.086,0.565,0.65,3,2,2,3,2,0.74,2,0.75,2,2,0.792,0.59,2,0.968,0.8,2,11.0
429,02M374_2016,GRAMERCY ARTS HIGH SCHOOL,70.5,2.75,2.41,,3,0.659,0.62,1,523,0.038,0.40299999999999997,0.021,0.486,0.43200000000000005,0.004,0.182,0.061,0.078,0.078,0.442,0.784,2,3,2,3,3,0.7,2,0.74,2,2,0.846,0.59,2,0.9620000000000001,0.75,2,2.0
430,02M376_2016,NYC ISCHOOL,96.3,3.39,3.18,,4,0.414,0.95,4,457,0.07,0.19,0.004,0.26899999999999996,0.368,0.004,0.149,0.311,0.039,0.039,0.19699999999999998,0.828,4,3,4,4,4,0.88,4,0.88,3,4,0.9279999999999999,0.8,3,0.966,0.93,4,3.8
431,02M392_2016,MANHATTAN BUSINESS ACADEMY,87.5,2.65,2.45,,4,0.685,0.91,4,423,0.04,0.27399999999999997,0.052000000000000005,0.511,0.612,0.006999999999999999,0.18,0.043,0.073,0.073,0.442,0.586,4,4,4,4,4,0.83,4,0.8,3,3,0.8590000000000001,0.73,3,0.977,0.87,3,7.0
432,02M393_2016,BUSINESS OF SPORTS SCHOOL,65.9,2.46,2.29,,3,0.7170000000000001,0.86,3,448,0.02,0.315,0.067,0.551,0.6409999999999999,0.006999999999999999,0.23199999999999998,0.013000000000000001,0.109,0.109,0.48200000000000004,0.75,3,3,4,3,4,0.83,4,0.84,3,2,0.8370000000000001,0.69,2,0.968,0.85,3,7.0
433,02M399_2016,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,81.3,2.67,2.6,,2,0.715,0.64,2,443,0.312,0.185,0.102,0.53,0.436,0.0,0.17600000000000002,0.047,0.129,0.129,0.465,0.645,2,2,2,2,2,0.76,2,0.77,2,2,0.835,0.64,2,0.978,0.77,2,0.4
434,02M400_2016,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,76.4,2.83,2.77,,3,0.6970000000000001,0.84,3,1259,0.133,0.151,0.08199999999999999,0.552,0.64,0.054000000000000006,0.16899999999999998,0.064,0.068,0.068,0.358,0.7909999999999999,3,2,3,3,2,0.84,2,0.79,3,2,0.86,0.68,2,0.966,0.89,3,0.4
435,02M407_2016,INSTITUTE FOR COLLABORATIVE EDUCATION,87.5,3.22,2.63,,4,0.27,0.98,4,282,0.064,0.145,0.0,0.142,0.142,0.0,0.078,0.5710000000000001,0.032,0.032,0.14800000000000002,0.667,4,4,4,4,4,0.94,4,0.93,4,4,0.92,0.86,4,0.973,0.96,4,4.4
436,02M408_2016,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,91.2,3.3,3.02,,3,0.342,0.93,4,452,0.042,0.24600000000000002,0.002,0.16399999999999998,0.20800000000000002,0.0,0.139,0.414,0.075,0.075,0.159,0.88,3,3,3,3,3,0.89,3,0.89,3,3,0.937,0.7,3,0.983,0.9,3,11.0
437,02M411_2016,BARUCH COLLEGE CAMPUS HIGH SCHOOL,99.1,3.57,3.62,,3,0.41700000000000004,0.75,2,445,0.49700000000000005,0.057999999999999996,0.002,0.28800000000000003,0.128,0.0,0.135,0.301,0.045,0.045,0.047,0.654,4,3,4,3,4,0.89,4,0.81,3,4,0.968,0.82,4,0.9640000000000001,0.86,3,0.9
438,02M412_2016,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,97.7,3.55,3.48,,4,0.284,0.94,4,527,0.243,0.055,0.002,0.165,0.154,0.0,0.165,0.491,0.034,0.034,0.09,0.775,4,4,4,4,3,0.9,4,0.9,4,4,0.9470000000000001,0.79,4,0.965,0.94,4,9.8
439,02M413_2016,SCHOOL OF THE FUTURE HIGH SCHOOL,86.7,3.28,3.08,,4,0.35100000000000003,0.9,3,439,0.146,0.13699999999999998,0.002,0.196,0.294,0.002,0.16399999999999998,0.36200000000000004,0.048,0.048,0.134,0.87,4,3,4,4,4,0.87,4,0.86,3,3,0.943,0.74,4,0.9620000000000001,0.89,3,8.9
440,02M414_2016,NYC MUSEUM SCHOOL,98.3,3.47,3.47,,3,0.589,0.67,2,446,0.336,0.135,0.006999999999999999,0.413,0.381,0.0,0.081,0.12300000000000001,0.047,0.047,0.16699999999999998,0.885,4,3,3,3,3,0.84,3,0.79,3,4,0.9390000000000001,0.76,3,0.963,0.81,3,11.0
441,02M416_2016,ELEANOR ROOSEVELT HIGH SCHOOL,100.0,3.86,3.93,,2,0.18899999999999997,0.79,3,554,0.215,0.04,0.002,0.106,0.085,0.0,0.078,0.621,0.009000000000000001,0.009000000000000001,0.081,0.879,4,4,3,2,3,0.88,4,0.88,3,4,0.961,0.83,4,0.971,0.86,3,8.0
442,02M418_2016,MILLENNIUM HIGH SCHOOL,98.2,3.63,3.62,,3,0.40700000000000003,0.8,3,641,0.39899999999999997,0.066,0.008,0.268,0.18600000000000003,0.002,0.106,0.31,0.045,0.045,0.086,0.8420000000000001,3,3,3,3,2,0.89,3,0.83,3,4,0.9590000000000001,0.83,3,0.966,0.86,3,4.0
443,02M419_2016,LANDMARK HIGH SCHOOL,60.9,2.43,2.15,,3,0.794,0.85,3,370,0.022000000000000002,0.3,0.076,0.6459999999999999,0.632,0.0,0.24600000000000002,0.022000000000000002,0.09699999999999999,0.09699999999999999,0.595,0.778,3,3,3,3,3,0.87,3,0.88,3,3,0.797,0.71,2,0.97,0.9,3,3.9
444,02M420_2016,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI,86.3,2.94,2.86,,4,0.6759999999999999,0.85,3,1700,0.204,0.183,0.063,0.513,0.529,0.006,0.13,0.075,0.071,0.071,0.19399999999999998,0.83,4,3,4,4,3,0.85,3,0.81,3,3,0.9209999999999999,0.75,4,0.968,0.88,3,6.8
445,02M422_2016,QUEST TO LEARN,74.4,2.81,2.43,,2,0.45,0.57,1,350,0.106,0.226,0.026000000000000002,0.303,0.38299999999999995,0.011000000000000001,0.326,0.23399999999999999,0.12300000000000001,0.12300000000000001,0.34299999999999997,0.528,3,3,3,3,2,0.74,2,0.81,3,2,0.885,0.6,2,0.97,0.71,1,1.9
446,02M425_2016,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,67.9,2.57,2.31,,3,0.7509999999999999,0.83,3,684,0.051,0.27899999999999997,0.066,0.5820000000000001,0.614,0.044000000000000004,0.19399999999999998,0.034,0.085,0.085,0.516,0.738,3,2,3,3,2,0.84,2,0.78,3,3,0.8109999999999999,0.69,2,0.9520000000000001,0.86,3,5.0
447,02M427_2016,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,60.0,1.93,2.09,,3,0.919,0.91,4,288,0.024,0.038,0.747,0.451,0.9129999999999999,0.006999999999999999,0.045,0.024,0.306,0.306,0.35100000000000003,0.727,3,3,3,3,3,0.88,3,0.8,3,2,0.878,0.73,3,0.963,0.88,3,6.0
448,02M437_2016,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,80.6,2.51,2.34,,4,0.748,0.87,3,501,0.062,0.27899999999999997,0.092,0.5710000000000001,0.603,0.004,0.22,0.032,0.126,0.126,0.527,0.667,3,3,3,4,3,0.79,3,0.76,2,3,0.8029999999999999,0.67,2,0.963,0.87,3,6.0
449,02M438_2016,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,68.9,1.88,2.23,,3,0.914,0.86,3,356,0.264,0.152,0.8340000000000001,0.348,0.483,0.0,0.037000000000000005,0.10099999999999999,0.42700000000000005,0.42700000000000005,0.355,0.769,3,2,2,3,2,0.85,2,0.78,3,3,0.867,0.8,3,0.978,0.91,4,0.8
450,02M439_2016,MANHATTAN VILLAGE ACADEMY,98.9,2.99,2.97,,4,0.616,0.91,4,441,0.066,0.122,0.011000000000000001,0.44,0.619,0.005,0.141,0.084,0.039,0.039,0.027000000000000003,0.69,4,4,4,4,4,0.9,4,0.93,4,4,0.978,0.8,4,0.9740000000000001,0.88,3,16.8
451,02M449_2016,VANGUARD HIGH SCHOOL,64.4,2.62,2.33,,4,0.6579999999999999,0.95,4,461,0.061,0.249,0.063,0.49200000000000005,0.584,0.006999999999999999,0.221,0.063,0.055999999999999994,0.055999999999999994,0.405,0.9329999999999999,4,4,3,4,4,0.94,4,0.8,3,3,0.884,0.79,3,0.971,0.95,4,4.8
452,02M459_2016,MANHATTAN INTERNATIONAL HIGH SCHOOL,75.6,1.99,2.26,,4,0.875,0.97,4,342,0.24600000000000002,0.158,0.6729999999999999,0.38299999999999995,0.474,0.003,0.040999999999999995,0.12,0.19899999999999998,0.19899999999999998,0.32899999999999996,0.857,4,4,4,4,4,0.91,4,0.89,4,3,0.8959999999999999,0.83,3,0.968,0.96,4,3.8
453,02M475_2016,STUYVESANT HIGH SCHOOL,97.3,4.17,4.3,,3,0.322,0.83,3,3327,0.7390000000000001,0.006999999999999999,0.0,0.174,0.027999999999999997,0.0,0.005,0.19699999999999998,0.021,0.021,0.063,0.912,4,3,4,3,3,0.88,3,0.83,3,4,0.9670000000000001,0.82,4,0.9640000000000001,0.87,3,3.9
454,02M489_2016,HIGH SCHOOL OF ECONOMICS AND FINANCE,77.1,2.8,2.76,,3,0.654,0.84,3,761,0.221,0.222,0.051,0.474,0.466,0.017,0.183,0.079,0.071,0.071,0.261,0.8370000000000001,3,2,4,3,3,0.81,3,0.8,3,3,0.895,0.68,3,0.9690000000000001,0.85,3,8.9
