,ID,School Name_x,Total Grads % of cohort,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Collaborative Teachers - Percent Positive,Collaborative Teachers Rating,Economic Need Index,Effective School Leadership - Percent Positive,Effective School Leadership Rating,Enrollment,Percent Asian,Percent Black,Percent English Language Learners,Percent HRA Eligible,Percent Hispanic,Percent Self-Contained,Percent Students with Disabilities,Percent White,Percent in Temp Housing,Percent in Temp Housing - 4yr,Percent of Students Chronically Absent,Percent of teachers with 3 or more years of experience,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How effective is the teaching and learning?,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How well do teachers work with each other?,Quality Review - How well does the school assess what students are learning?,Rigorous Instruction - Percent Positive,Rigorous Instruction Rating,Strong Family-Community Ties - Percent Positive,Strong Family-Community Ties Rating,Student Achievement Rating,Student Attendance Rate,Supportive Environment - Percent Positive,Supportive Environment Rating,Teacher Attendance Rate,Trust - Percent Positive,Trust Rating,Years of principal experience at this school
856,02M399_2017,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,80.0,2.76,2.58,,1,0.7020000000000001,0.54,1,402,0.294,0.20600000000000002,0.10400000000000001,0.473,0.425,0.0,0.159,0.052000000000000005,0.129,0.129,0.514,0.645,2,2,2,2,2,0.64,1,0.71,1,2,0.82,0.55,1,0.961,0.69,1,1.4
857,02M400_2017,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,76.7,2.95,2.76,,3,0.6859999999999999,0.85,3,1227,0.13,0.163,0.077,0.526,0.629,0.03,0.177,0.065,0.084,0.084,0.386,0.708,3,2,3,3,2,0.81,2,0.79,2,2,0.852,0.7,2,0.9740000000000001,0.86,3,1.4
858,02M407_2017,INSTITUTE FOR COLLABORATIVE EDUCATION,81.7,3.19,2.69,,4,0.292,0.94,4,274,0.069,0.172,0.004,0.153,0.153,0.006999999999999999,0.12,0.5329999999999999,0.018000000000000002,0.018000000000000002,0.17300000000000001,0.6920000000000001,4,4,4,4,4,0.91,4,0.94,4,3,0.9229999999999999,0.82,3,0.9790000000000001,0.94,4,5.4
859,02M408_2017,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,91.8,3.4,3.1,,3,0.364,0.85,3,449,0.06,0.23399999999999999,0.0,0.165,0.218,0.002,0.154,0.45899999999999996,0.069,0.069,0.207,0.9259999999999999,3,3,3,3,3,0.8,3,0.86,3,3,0.93,0.72,3,0.977,0.88,3,12.0
860,02M411_2017,BARUCH COLLEGE CAMPUS HIGH SCHOOL,100.0,3.67,3.68,,3,0.35100000000000003,0.65,1,440,0.45,0.045,0.005,0.207,0.14300000000000002,0.002,0.155,0.33899999999999997,0.048,0.048,0.07,0.667,4,3,4,3,4,0.84,4,0.83,3,4,0.965,0.82,4,0.963,0.81,3,13.3
861,02M412_2017,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,96.7,3.64,3.52,,4,0.26,0.95,4,531,0.213,0.055,0.004,0.145,0.149,0.002,0.179,0.51,0.036000000000000004,0.036000000000000004,0.131,0.825,4,4,4,4,3,0.88,4,0.91,4,4,0.943,0.81,4,0.9590000000000001,0.94,4,10.8
862,02M413_2017,SCHOOL OF THE FUTURE HIGH SCHOOL,98.0,3.36,3.09,,4,0.34,0.84,3,456,0.136,0.125,0.009000000000000001,0.195,0.285,0.002,0.16399999999999998,0.39,0.061,0.061,0.14300000000000002,0.774,4,3,4,4,4,0.84,4,0.86,3,4,0.9390000000000001,0.76,4,0.971,0.86,3,9.9
863,02M414_2017,NYC MUSEUM SCHOOL,100.0,3.59,3.45,,2,0.5579999999999999,0.63,2,454,0.297,0.128,0.013000000000000001,0.374,0.368,0.0,0.106,0.163,0.059000000000000004,0.059000000000000004,0.198,0.875,4,4,3,3,3,0.74,3,0.75,2,4,0.938,0.72,3,0.966,0.74,1,12.0
864,02M416_2017,ELEANOR ROOSEVELT HIGH SCHOOL,98.6,3.95,4.01,,4,0.195,0.94,4,543,0.204,0.040999999999999995,0.0,0.099,0.109,0.0,0.114,0.634,0.011000000000000001,0.011000000000000001,0.105,0.8240000000000001,4,4,4,3,3,0.89,4,0.92,4,4,0.956,0.86,4,0.977,0.94,4,9.0
865,02M418_2017,MILLENNIUM HIGH SCHOOL,99.3,3.75,3.75,,3,0.40700000000000003,0.88,3,659,0.41700000000000004,0.065,0.012,0.263,0.153,0.003,0.11800000000000001,0.32899999999999996,0.052000000000000005,0.052000000000000005,0.07,0.816,4,2,3,3,2,0.85,2,0.81,2,4,0.9620000000000001,0.82,4,0.976,0.89,3,5.0
866,02M419_2017,LANDMARK HIGH SCHOOL,60.0,2.53,2.13,,3,0.7659999999999999,0.84,3,380,0.026000000000000002,0.33899999999999997,0.068,0.6,0.6,0.008,0.237,0.018000000000000002,0.11800000000000001,0.11800000000000001,0.527,0.885,3,3,3,3,3,0.83,3,0.86,3,3,0.8059999999999999,0.72,2,0.965,0.87,3,4.9
867,02M420_2017,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI,87.9,3.05,2.89,,4,0.6559999999999999,0.82,3,1792,0.203,0.172,0.067,0.488,0.535,0.009000000000000001,0.132,0.081,0.075,0.075,0.20800000000000002,0.86,4,3,4,4,3,0.82,3,0.77,2,3,0.9209999999999999,0.78,4,0.9590000000000001,0.86,3,7.8
868,02M422_2017,QUEST TO LEARN,82.1,2.89,2.4,,3,0.521,0.89,3,368,0.098,0.223,0.038,0.34,0.413,0.008,0.304,0.231,0.128,0.128,0.353,0.564,4,3,3,3,2,0.81,3,0.91,4,2,0.875,0.69,3,0.968,0.89,3,1.0
869,02M425_2017,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,66.0,2.71,2.34,,3,0.7290000000000001,0.84,3,608,0.051,0.29600000000000004,0.059000000000000004,0.561,0.599,0.016,0.188,0.033,0.10400000000000001,0.10400000000000001,0.47600000000000003,0.757,3,2,2,3,2,0.79,2,0.83,2,2,0.831,0.7,3,0.9490000000000001,0.9,3,6.0
870,02M427_2017,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,50.0,1.98,2.03,,3,0.888,0.96,4,288,0.027999999999999997,0.038,0.743,0.37200000000000005,0.91,0.003,0.076,0.024,0.406,0.406,0.462,0.609,3,3,3,3,3,0.84,3,0.85,3,2,0.855,0.77,2,0.953,0.93,4,7.0
