DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing - 4yr,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
28Q157,J.H.S. 157 Stephen A. Halsey,High School,1529,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,N/A,91%,89%,84%,84%,72%,90%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,6-Jan-15,2.14,2.14,21.90%,41.10%,32.90%,40.80%,8.20%,41.10%,9.60%,28.80%,28.80%,31.50%,9.8,64.60%,86.90%,50.00%,96.50%
28Q167,Metropolitan Expeditionary Learning School,High School,722,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,N/A,87%,96%,85%,93%,80%,93%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,11-Feb-15,2.71,2.46,1.40%,18.50%,3.10%,39.70%,3.10%,23.90%,14.00%,16.50%,37.30%,27.40%,5,50.00%,94.60%,13.00%,97.40%
28Q284,York Early College Academy,High School,611,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,90%,91%,88%,83%,78%,91%,Well Developed,Proficient,Proficient,Well Developed,Proficient,21-Jan-15,2.93,2.66,0.00%,7.90%,0.00%,42.80%,2.10%,26.90%,28.70%,58.00%,10.30%,1.20%,9,83.30%,96.20%,8.70%,96.80%
28Q310,Queens Collegiate: A College Board School,High School,661,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,86%,83%,83%,72%,72%,84%,Proficient,Proficient,Developing,Proficient,Developing,"November 25-26, 2013",2.47,2.33,9.10%,12.30%,4.10%,54.90%,5.50%,36.10%,24.80%,53.40%,16.10%,4.10%,7,58.30%,86.30%,37.60%,95.60%
28Q325,Hillside Arts & Letters Academy,High School,464,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,91%,95%,87%,92%,74%,95%,Proficient,Proficient,Developing,Well Developed,Proficient,11-Dec-14,2.38,2.21,10.80%,10.80%,1.10%,59.80%,7.10%,44.60%,27.80%,37.70%,24.40%,3.00%,5,58.60%,86.30%,39.60%,97.50%
28Q328,High School for Community Leadership,High School,418,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,91%,95%,91%,95%,85%,97%,Proficient,Proficient,Proficient,Well Developed,Well Developed,12-Feb-15,2.31,2.22,15.60%,15.10%,0.50%,56.30%,8.40%,40.90%,22.70%,42.30%,26.60%,4.50%,5,43.30%,83.00%,52.00%,97.90%
28Q350,Jamaica Gateway to the Sciences,High School,516,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,Exceeding Target,Exceeding Target,90%,94%,86%,92%,70%,95%,Proficient,Proficient,Proficient,Well Developed,Proficient,"March 4-5, 2014",2.6,2.59,9.30%,9.90%,0.40%,47.80%,6.00%,33.50%,40.70%,42.60%,10.90%,2.30%,4,46.70%,90.70%,29.60%,97.50%
28Q440,Forest Hills High School,High School,3840,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Not Meeting Target,Meeting Target,Meeting Target,85%,87%,81%,78%,65%,86%,Proficient,Proficient,Proficient,Well Developed,Well Developed,16-Jan-15,2.84,2.76,5.70%,12.80%,6.00%,45.20%,3.20%,33.40%,24.60%,9.60%,33.80%,30.00%,7.3,90.10%,91.10%,23.20%,96.10%
28Q505,Hillcrest High School,High School,3286,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,91%,92%,100%,90%,98%,97%,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,"May 13-15, 2014",2.46,2.33,13.70%,10.30%,1.90%,52.80%,6.60%,38.50%,34.50%,30.30%,28.80%,3.80%,1.4,84.80%,90.00%,28.00%,95.70%
28Q620,Thomas A. Edison Career and Technical Education Hi,High School,2098,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Meeting Target,85%,86%,80%,81%,64%,85%,Proficient,Proficient,Proficient,Well Developed,Proficient,8-Jan-15,2.92,2.89,0.90%,11.20%,4.80%,44.70%,1.80%,32.50%,49.00%,20.90%,22.40%,4.20%,2.8,86.50%,93.80%,15.80%,96.60%
