DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing - 4yr,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
01M292,Henry Street School for International Studies,High School,255,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,72%,77%,77%,72%,76%,87%,Developing,Developing,Developing,Developing,Developing,1-May-15,2.18,2.06,12.70%,29.80%,1.50%,83.20%,19.00%,66.30%,13.20%,24.40%,56.60%,3.90%,3,66.70%,76.60%,56.80%,97.10%
01M448,University Neighborhood High School,High School,304,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,85%,95%,87%,93%,79%,95%,Well Developed,Proficient,Proficient,Well Developed,Proficient,21-Apr-15,2.27,2.37,19.40%,22.00%,0.30%,81.20%,26.30%,59.90%,29.90%,25.00%,41.10%,3.30%,5.5,69.60%,88.00%,34.70%,97.10%
01M450,East Side Community School,High School,666,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,92%,95%,92%,96%,88%,95%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,26-May-15,2.66,2.63,1.80%,23.40%,0.00%,61.00%,5.70%,44.70%,9.40%,22.10%,57.90%,8.30%,13.8,78.40%,93.80%,16.50%,96.10%
01M509,Marta Valle High School,High School,363,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,86%,76%,81%,69%,70%,82%,Developing,Developing,Developing,Developing,Proficient,8-Jan-15,2.28,2.09,9.10%,28.40%,14.60%,76.70%,14.90%,59.50%,5.80%,39.90%,51.20%,2.50%,1.9,69.00%,76.80%,64.70%,97.10%
01M539,"New Explorations into Science, Technology and Math",High School,1735,Exceeding Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Not Meeting Target,Exceeding Target,81%,73%,85%,55%,81%,74%,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,5-Feb-15,3.5,3.53,0.20%,4.30%,0.00%,25.70%,2.90%,26.00%,38.50%,13.30%,18.00%,28.60%,9,60.20%,95.20%,13.00%,96.70%
01M696,Bard High School Early College,High School,545,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,92%,90%,91%,90%,75%,92%,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,"January 15-16, 2014",3.71,3.65,0.00%,1.10%,0.00%,31.40%,2.00%,17.20%,17.10%,17.20%,18.70%,45.30%,4.8,87.90%,95.80%,6.20%,97.60%
02M047,47 The American Sign Language and English Secondar,High School,169,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,79%,88%,85%,75%,73%,88%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,12-Feb-15,2.4,2.24,4.70%,25.40%,8.30%,73.30%,10.70%,59.20%,1.20%,28.40%,64.50%,5.30%,7,55.00%,88.10%,45.10%,98.30%
02M135,The Urban Assembly School for Emergency Management,High School,193,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73%,88%,88%,83%,77%,91%,Proficient,Developing,Proficient,Proficient,Proficient,11-May-15,2.34,2.22,7.30%,19.70%,1.00%,71.30%,12.40%,52.80%,5.70%,28.50%,62.20%,2.60%,2,64.70%,88.30%,34.80%,97.20%
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High School,193,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85%,95%,82%,92%,75%,94%,Proficient,Proficient,Proficient,Well Developed,Well Developed,19-Dec-14,2.3,2.27,7.80%,29.50%,1.60%,71.40%,10.40%,57.50%,3.60%,24.90%,61.10%,8.80%,2,35.30%,88.10%,40.30%,98.80%
02M280,Manhattan Early College School for Advertising,High School,97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86%,92%,89%,94%,79%,94%,Proficient,Proficient,Proficient,Well Developed,Proficient,5-May-15,2.6,2.43,1.00%,22.70%,0.00%,55.80%,6.20%,40.20%,7.20%,32.00%,43.30%,15.50%,1,77.80%,93.70%,17.30%,99.10%
02M282,Urban Assembly Maker Academy,High School,103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78%,94%,84%,91%,81%,93%,Proficient,Developing,Proficient,Developing,Developing,29-Apr-15,2.72,2.62,3.90%,5.80%,1.00%,61.60%,6.80%,43.70%,10.70%,24.30%,45.60%,9.70%,1,33.30%,90.80%,32.10%,95.10%
02M288,Food and Finance High School,High School,427,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Meeting Target,Meeting Target,90%,88%,81%,84%,63%,88%,Well Developed,Well Developed,Proficient,Well Developed,Proficient,4-Mar-15,2.47,2.36,3.00%,15.70%,0.00%,68.70%,8.70%,52.50%,4.70%,39.60%,52.20%,3.00%,11,77.40%,88.50%,40.50%,95.90%
02M294,Essex Street Academy,High School,358,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,91%,98%,88%,97%,79%,96%,Well Developed,Proficient,Well Developed,Well Developed,Proficient,"March 3-4, 2014",2.48,2.25,4.20%,26.00%,0.30%,63.30%,5.60%,46.10%,5.90%,38.50%,41.30%,11.70%,4.9,84.00%,86.30%,31.80%,97.30%
02M296,High School of Hospitality Management,High School,424,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,88%,92%,85%,91%,73%,91%,Proficient,Proficient,Proficient,Proficient,Well Developed,11-Feb-15,2.31,2.25,7.80%,17.50%,2.80%,75.10%,9.00%,58.50%,5.00%,21.00%,71.20%,1.70%,2.8,85.70%,84.80%,42.80%,97.30%
02M298,Pace High School,High School,423,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,91%,89%,88%,87%,71%,91%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,16-Apr-15,2.6,2.47,1.20%,11.60%,0.20%,66.50%,5.70%,51.10%,13.70%,28.10%,45.40%,1.90%,11,100.00%,92.70%,20.30%,97.00%
02M300,"Urban Assembly School of Design and Construction,",High School,414,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,87%,91%,84%,91%,79%,93%,Proficient,Proficient,Proficient,Proficient,Proficient,"December 17-18, 2013",2.24,2.24,6.30%,20.80%,1.70%,72.60%,11.40%,56.30%,6.00%,29.50%,59.20%,3.40%,6.9,53.60%,83.00%,50.20%,96.30%
02M303,"Facing History School, The",High School,406,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,88%,91%,90%,90%,78%,94%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,13-Mar-15,2.17,2.09,19.50%,25.10%,0.20%,81.10%,13.10%,66.50%,1.70%,27.30%,67.50%,2.20%,3.9,66.70%,83.00%,49.20%,95.20%
02M305,"Urban Assembly Academy of Government and Law, The",High School,329,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,84%,89%,80%,85%,72%,91%,Proficient,Developing,Proficient,Proficient,Proficient,26-Mar-15,2.35,2.22,3.30%,18.80%,0.30%,74.90%,14.60%,60.80%,5.80%,41.90%,49.20%,2.70%,1,39.10%,85.90%,44.80%,97.70%
02M308,Lower Manhattan Arts Academy,High School,383,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,84%,87%,79%,91%,75%,91%,Proficient,Proficient,Proficient,Well Developed,Proficient,18-Nov-14,2.38,2.22,4.20%,30.00%,2.60%,69.50%,9.70%,53.50%,8.60%,28.20%,56.90%,3.10%,10,73.90%,89.70%,31.10%,96.90%
02M316,"Urban Assembly School of Business for Young Women,",High School,405,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,86%,92%,80%,86%,70%,87%,Developing,Developing,Developing,Proficient,Proficient,13-Nov-14,2.3,2.19,4.40%,18.50%,0.20%,73.60%,10.10%,57.80%,3.50%,52.80%,39.30%,2.20%,10,31.80%,79.90%,54.50%,97.40%
02M374,Gramercy Arts High School,High School,530,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,87%,86%,76%,75%,65%,85%,Developing,Proficient,Proficient,Developing,Proficient,6-May-15,2.49,2.25,2.10%,17.50%,0.60%,66.20%,8.30%,47.90%,3.60%,42.50%,44.20%,5.80%,1,81.10%,86.50%,42.00%,96.90%
02M376,NYC iSchool,High School,442,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,90%,94%,92%,93%,79%,96%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,17-Mar-14,3.12,2.81,0.20%,12.90%,0.70%,42.20%,3.60%,29.00%,8.60%,19.90%,39.80%,28.70%,2.8,93.10%,94.00%,19.30%,98.00%
02M392,MANHATTAN BUSINESS ACADEMY,High School,438,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Exceeding Target,81%,81%,82%,84%,70%,83%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,3-Mar-15,2.34,2.26,5.50%,18.30%,0.50%,71.50%,7.50%,55.30%,3.40%,28.10%,62.10%,3.90%,6,71.00%,85.60%,43.60%,97.20%
02M393,BUSINESS OF SPORTS SCHOOL,High School,449,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,73%,77%,85%,79%,79%,86%,Well Developed,Proficient,Well Developed,Proficient,Proficient,22-Jan-15,2.22,2.16,7.30%,22.30%,0.00%,71.40%,11.40%,54.60%,2.20%,35.40%,59.50%,1.60%,6,54.30%,84.70%,47.50%,97.30%
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,High School,437,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,85%,87%,80%,84%,67%,89%,Proficient,Proficient,Proficient,Proficient,Proficient,30-Apr-14,2.44,2.4,12.10%,17.40%,0.20%,70.30%,13.00%,53.30%,31.10%,20.40%,40.30%,5.70%,1.9,48.30%,86.90%,38.20%,97.80%
02M400,High School for Environmental Studies,High School,1301,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,84%,85%,84%,76%,68%,87%,Proficient,Proficient,Proficient,Proficient,Proficient,"October 22-23, 2013",2.6,2.55,7.10%,16.60%,4.90%,69.00%,5.80%,54.70%,15.10%,14.70%,62.90%,6.60%,14.4,83.30%,89.10%,29.60%,97.10%
02M407,Institute for Collaborative Education,High School,482,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,94%,98%,90%,98%,89%,96%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"March 19 - 20, 2013",2.87,2.38,0.00%,6.20%,0.00%,25.80%,3.60%,13.00%,5.80%,14.10%,14.90%,56.50%,3.4,69.60%,91.70%,20.40%,97.80%
02M408,Professional Performing Arts High School,High School,536,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,90%,86%,84%,85%,75%,91%,Proficient,Proficient,Proficient,Proficient,Proficient,"December 17-18, 2013",3.05,2.71,0.20%,12.60%,0.50%,33.00%,7.90%,15.10%,2.50%,26.20%,22.30%,42.90%,10,83.30%,94.40%,13.30%,96.70%
02M411,Baruch College Campus High School,High School,451,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,Exceeding Target,91%,94%,90%,92%,70%,95%,Well Developed,Proficient,Well Developed,Well Developed,Proficient,30-Apr-15,3.26,3.29,0.20%,10.00%,0.20%,45.90%,4.00%,33.30%,54.80%,6.20%,14.90%,22.80%,11.2,69.20%,97.50%,4.40%,96.30%
02M412,N.Y.C. Lab School for Collaborative Studies,High School,587,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,86%,91%,89%,89%,79%,94%,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,7-Jan-15,3.28,3.17,0.20%,15.00%,0.00%,32.50%,3.70%,20.60%,27.60%,6.00%,15.50%,46.00%,8.8,81.10%,94.20%,15.30%,96.40%
02M413,School of the Future High School,High School,713,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,88%,96%,88%,91%,76%,92%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,16-Dec-14,3.05,2.77,0.50%,14.80%,0.00%,35.80%,6.20%,21.80%,14.40%,11.70%,30.40%,35.90%,7.9,84.80%,94.10%,16.40%,96.70%
02M414,N.Y.C. Museum School,High School,471,Meeting Target,Approaching Target,Meeting Target,Not Meeting Target,Not Meeting Target,Approaching Target,Exceeding Target,86%,79%,84%,60%,64%,81%,Proficient,Proficient,Proficient,Well Developed,Proficient,18-May-15,3.18,3.13,0.60%,7.60%,0.00%,59.30%,3.20%,44.40%,34.20%,12.70%,39.70%,12.10%,10,96.00%,94.80%,14.50%,95.00%
02M416,Eleanor Roosevelt High School,High School,541,Meeting Target,Approaching Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,89%,80%,92%,75%,76%,86%,Proficient,Well Developed,Proficient,Well Developed,Developing,20-Nov-14,3.61,3.61,0.00%,5.90%,0.00%,20.40%,1.10%,11.30%,20.10%,4.40%,10.90%,61.40%,7,93.50%,96.50%,7.20%,97.50%
02M418,Millennium High School,High School,659,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,87%,88%,89%,82%,71%,89%,Proficient,Proficient,Developing,Proficient,Proficient,3-Dec-14,3.37,3.22,0.50%,9.40%,0.50%,40.20%,3.60%,27.00%,38.40%,7.60%,18.20%,32.80%,3,81.60%,96.40%,6.80%,97.30%
02M419,Landmark High School,High School,355,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,84%,88%,83%,86%,78%,92%,Proficient,Proficient,Proficient,Proficient,Proficient,16-Apr-15,2.23,2.07,10.40%,24.50%,0.60%,80.40%,9.90%,68.70%,3.70%,24.20%,68.50%,1.70%,3,67.90%,81.90%,53.40%,96.70%
02M420,High School for Health Professions and Human Servi,High School,1664,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,87%,87%,87%,83%,69%,91%,Proficient,Proficient,Proficient,Proficient,Well Developed,April 7-8 2014,2.71,2.61,4.30%,12.40%,0.40%,67.00%,5.60%,52.10%,22.40%,18.90%,50.90%,7.30%,5.8,76.20%,91.60%,22.20%,97.00%
02M422,Quest to Learn,High School,564,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,N/A,83%,79%,82%,74%,80%,86%,Proficient,Proficient,Developing,Proficient,Proficient,14-Jan-15,2.56,2.27,3.00%,36.20%,1.10%,40.60%,12.80%,31.30%,8.70%,21.90%,41.50%,24.20%,0.9,44.70%,89.00%,33.70%,96.80%
02M425,Leadership and Public Service High School,High School,699,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,86%,81%,83%,84%,75%,89%,Proficient,Proficient,Proficient,Well Developed,Proficient,"April 2-3, 2014",2.33,2.18,6.70%,20.30%,4.30%,75.10%,8.90%,59.70%,3.90%,27.90%,61.90%,4.40%,4,73.20%,79.20%,58.30%,97.20%
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,High School,334,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,90%,94%,83%,89%,78%,92%,Proficient,Proficient,Proficient,Proficient,Proficient,16-Dec-14,1.83,2.07,78.40%,3.30%,0.30%,75.00%,26.30%,44.90%,2.40%,4.80%,91.30%,1.50%,5,54.20%,85.10%,44.20%,96.50%
02M429,Legacy School for Integrated Studies,High School,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87%,87%,68%,87%,78%,88%,N/A,N/A,N/A,N/A,N/A,,2.19,2.03,0.00%,47.40%,0.00%,72.90%,0.00%,63.20%,0.00%,36.80%,63.20%,0.00%,2.9,100.00%,82.80%,55.00%,96.20%
02M437,Hudson High School of Learning Technologies,High School,483,Meeting Target,Exceeding Target,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,85%,92%,82%,93%,75%,92%,Proficient,Proficient,Proficient,Proficient,Well Developed,24-Feb-15,2.28,2.23,8.70%,22.20%,0.40%,75.40%,14.30%,59.40%,6.40%,29.20%,59.40%,3.30%,5,54.30%,82.60%,50.60%,97.00%
02M438,International High School at Union Square,High School,353,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,89%,91%,85%,88%,79%,91%,Developing,Developing,Developing,Proficient,Proficient,4-Mar-15,1.76,2.17,86.40%,4.80%,0.00%,74.20%,38.50%,44.80%,30.60%,14.20%,45.30%,9.90%,1,76.00%,83.50%,40.20%,97.10%
02M439,Manhattan Village Academy,High School,415,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,88%,87%,90%,85%,80%,87%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,9-Dec-14,2.68,2.78,2.70%,11.30%,0.00%,59.60%,3.60%,43.60%,7.20%,9.60%,67.20%,7.20%,15.8,59.30%,98.30%,1.00%,97.90%
02M449,Vanguard High School,High School,486,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,88%,98%,89%,97%,75%,96%,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,12-May-15,2.35,2.21,7.80%,21.80%,1.20%,68.50%,6.80%,52.70%,7.60%,27.40%,57.00%,4.70%,3.8,90.30%,87.20%,42.90%,97.30%
02M459,Manhattan International High School,High School,343,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,81%,78%,90%,77%,77%,87%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,1-Apr-15,1.87,2.26,76.70%,4.10%,0.60%,68.10%,18.40%,46.40%,29.40%,16.60%,41.10%,12.20%,2.8,90.50%,90.30%,29.90%,97.30%
02M460,Washington Irving High School,High School,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90%,83%,88%,70%,78%,85%,N/A,N/A,N/A,N/A,N/A,,2.16,2.04,17.20%,34.30%,15.20%,71.30%,6.10%,56.60%,3.00%,33.30%,56.60%,7.10%,3,100.00%,72.70%,72.60%,97.20%
02M475,Stuyvesant High School,High School,3296,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,84%,80%,87%,77%,70%,87%,Well Developed,Proficient,Proficient,Well Developed,Proficient,23-Apr-15,4.01,4.17,0.10%,0.50%,0.00%,31.60%,1.90%,18.20%,73.40%,0.80%,2.60%,20.40%,2.9,91.20%,96.50%,7.60%,96.30%
02M489,High School of Economics and Finance,High School,796,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,86%,82%,83%,80%,68%,85%,Well Developed,Proficient,Proficient,Proficient,Proficient,"November 20-21, 2013",2.55,2.55,6.00%,14.30%,2.30%,66.80%,7.20%,52.30%,21.70%,22.90%,47.10%,7.20%,7.9,88.40%,88.70%,30.00%,95.90%
02M500,Unity Center for Urban Technologies,High School,284,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,86%,80%,88%,73%,85%,87%,Proficient,Developing,Proficient,Proficient,Proficient,6-May-15,2.25,2.15,6.70%,23.90%,0.70%,77.10%,7.70%,60.90%,6.00%,27.50%,58.80%,4.90%,7.9,61.50%,86.40%,33.80%,96.10%
02M507,Urban Assembly Gateway School for Technology,High School,472,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,82%,93%,85%,89%,77%,95%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,20-Mar-14,2.49,2.4,2.10%,19.10%,0.60%,63.60%,8.50%,46.20%,7.80%,30.30%,53.80%,5.70%,4,37.50%,89.60%,33.30%,97.30%
02M519,Talent Unlimited High School,High School,506,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,93%,95%,84%,89%,75%,92%,Well Developed,Proficient,Well Developed,Well Developed,Proficient,"January 14 – 15, 2013",3,2.66,0.20%,8.70%,0.00%,45.90%,4.20%,31.20%,4.90%,33.40%,39.90%,20.40%,6.9,82.80%,93.40%,17.60%,97.80%
02M520,Murry Bergtraum High School for Business Careers,High School,971,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,N/A,N/A,Approaching Target,84%,71%,73%,56%,68%,75%,Developing,Developing,Developing,Proficient,Developing,11-Feb-15,2.33,2.18,10.70%,20.30%,6.70%,71.10%,12.20%,53.60%,8.90%,46.10%,40.70%,3.00%,0.9,76.60%,72.90%,65.00%,97.00%
02M529,Jacqueline Kennedy Onassis High School,High School,676,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,83%,82%,79%,69%,74%,80%,Developing,Developing,Proficient,Proficient,Proficient,19-Nov-14,2.29,2.16,5.90%,18.60%,2.40%,77.10%,9.30%,62.00%,4.00%,21.30%,70.10%,3.60%,11,74.40%,80.20%,55.00%,96.20%
02M531,Repertory Company High School for Theatre Arts,High School,246,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,92%,95%,90%,95%,73%,94%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,6-Mar-15,2.71,2.46,3.70%,12.60%,0.00%,62.40%,8.10%,45.90%,1.60%,37.40%,50.40%,8.50%,2.3,53.80%,92.80%,26.30%,97.80%
02M533,Union Square Academy for Health Sciences,High School,319,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89%,81%,82%,75%,69%,83%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,23-Apr-15,2.42,2.35,10.30%,14.40%,0.60%,71.90%,8.50%,57.40%,16.00%,20.10%,56.70%,4.70%,3,24.00%,90.70%,28.00%,96.40%
02M534,Harvest Collegiate High School,High School,333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88%,95%,82%,98%,80%,93%,Developing,Developing,Proficient,Proficient,Proficient,10-Dec-14,2.63,2.42,2.10%,24.30%,1.80%,51.10%,8.10%,36.00%,6.90%,22.20%,52.30%,16.80%,2.9,51.70%,90.90%,29.40%,97.40%
02M542,Manhattan Bridges High School,High School,529,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,92%,89%,94%,86%,79%,93%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,22-Jan-15,2.07,2.31,53.10%,2.30%,0.00%,82.00%,20.60%,63.50%,0.00%,0.00%,100.00%,0.00%,12,90.90%,92.00%,25.60%,97.10%
02M543,New Design High School,High School,441,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Exceeding Target,Meeting Target,75%,84%,85%,76%,70%,92%,Proficient,Proficient,Well Developed,Well Developed,Well Developed,16-Apr-15,2.34,2.16,5.40%,26.50%,4.80%,74.50%,14.50%,57.60%,5.90%,30.80%,56.90%,3.90%,12,74.30%,84.80%,41.70%,96.40%
02M545,High School for Dual Language and Asian Studies,High School,416,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Not Meeting Target,Meeting Target,Exceeding Target,90%,83%,90%,71%,64%,87%,Well Developed,Proficient,Well Developed,Well Developed,Proficient,8-Jan-15,2.64,3.41,23.60%,1.90%,0.00%,72.30%,18.50%,56.50%,88.90%,3.10%,5.50%,1.70%,12,66.70%,98.20%,2.90%,99.30%
02M546,Academy for Software Engineering,High School,344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92%,97%,89%,98%,83%,96%,Proficient,Proficient,Proficient,Proficient,Proficient,9-Dec-14,2.5,2.46,2.30%,23.80%,0.00%,61.50%,6.70%,44.20%,11.00%,28.80%,45.90%,9.00%,3,25.00%,92.50%,22.00%,97.90%
02M551,Urban Assembly New York Harbor School,High School,447,Approaching Target,Not Meeting Target,Meeting Target,Not Meeting Target,Meeting Target,Approaching Target,Meeting Target,81%,72%,79%,66%,79%,82%,Proficient,Developing,Developing,Proficient,Developing,22-Apr-15,2.61,2.37,2.70%,21.90%,0.40%,55.60%,5.80%,39.10%,2.90%,23.70%,51.70%,18.80%,0.9,69.40%,90.30%,28.90%,96.70%
02M580,Richard R. Green High School of Teaching,High School,566,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,86%,90%,79%,87%,71%,90%,Proficient,Proficient,Developing,Proficient,Proficient,22-Jan-15,2.3,2.17,5.10%,24.20%,3.40%,76.40%,11.70%,62.20%,6.20%,31.10%,58.80%,2.70%,2.6,82.50%,85.30%,42.70%,96.30%
02M600,The High School of Fashion Industries,High School,1770,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,89%,90%,84%,88%,71%,90%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,30-Apr-15,2.66,2.45,2.20%,13.90%,3.60%,65.70%,7.30%,49.90%,5.00%,36.30%,53.80%,3.80%,4.8,81.60%,93.70%,18.00%,95.30%
02M615,Chelsea Career and Technical Education High School,High School,439,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,86%,87%,84%,84%,74%,90%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,25-Mar-15,2.41,2.31,2.70%,19.10%,1.80%,73.40%,7.70%,59.70%,8.20%,28.90%,57.40%,3.20%,6.9,90.60%,88.40%,35.70%,96.00%
02M625,High School of Graphic Communication Arts,High School,336,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81%,69%,80%,58%,64%,77%,Developing,Developing,Proficient,Proficient,Proficient,14-Jan-15,2.24,2.04,5.10%,24.40%,6.50%,72.70%,8.30%,57.70%,1.80%,33.90%,60.10%,2.10%,3.8,96.90%,66.40%,79.10%,94.50%
02M630,Art and Design High School,High School,1476,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Not Meeting Target,Approaching Target,Meeting Target,80%,76%,85%,66%,66%,82%,Developing,Developing,Proficient,Developing,Developing,18-Dec-14,2.76,2.55,1.20%,16.70%,2.00%,55.40%,6.20%,39.20%,8.50%,24.10%,54.70%,10.80%,0.8,83.00%,91.10%,24.70%,96.50%
