,ID,School Name,Total Grads % of cohort
9999,11X299_2016,ASTOR COLLEGIATE ACADEMY,70.7
10089,11X418_2016,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,52.5
10162,11X455_2016,HARRY S TRUMAN HIGH SCHOOL,67.0
10210,11X508_2016,BRONXDALE HIGH SCHOOL,75.7
10230,11X509_2016,HIGH SCHOOL OF LANGUAGE AND INNOVATION,60.6
10250,11X513_2016,NEW WORLD HIGH SCHOOL,77.3
10296,11X514_2016,THE BRONXWOOD PREPARATORY ACADEMY,63.4
10383,11X542_2016,PELHAM PREPARATORY ACADEMY,88.3
10436,11X544_2016,HIGH SCHOOL FOR CONTEMPORARY ARTS,57.3
10487,11X545_2016,BRONX AEROSPACE HIGH SCHOOL,69.2
10535,12X242_2016,MOTT HALL V,80.2
10593,12X248_2016,METROPOLITAN HIGH SCHOOL THE,58.1
10639,12X251_2016,EXPLORATIONS ACADEMY HS,61.2
10719,12X267_2016,BRONX LATIN,90.3
10756,12X271_2016,EAST BRONX ACADEMY FOR THE FUTURE,83.8
10804,12X278_2016,PEACE AND DIVERSITY ACADEMY,40.9
10850,12X321_2016,CROTONA ACADEMY HIGH SCHOOL,28.6
10898,12X372_2016,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,72.2
10922,12X388_2016,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,82.0
10952,12X446_2016,ARTURO A SCHOMBURG SATELLITE ACADEMY BRONX,5.3
10985,12X478_2016,THE CINEMA SCHOOL,80.8
11007,12X479_2016,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,40.7
11036,12X480_2016,BRONX REGIONAL HIGH SCHOOL,2.8
11083,12X511_2016,BRONX ENVISION ACADEMY,67.0
11100,12X521_2016,THE METROPOLITAN SOUNDVIEW HIGH SCHOOL,72.2
11124,12X550_2016,HIGH SCHOOL OF WORLD CULTURES,43.3
11202,12X682_2016,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,65.6
11254,12X684_2016,WINGS ACADEMY,47.2
11347,12X692_2016,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,38.4
11399,13K265_2016,DR SUSAN S MCKINNEY SECONDARY SCHOOL OF THE ARTS,69.2
11466,13K350_2016,URBAN ASSEMBLY SCHOOL FOR MUSIC AND ART,78.8
11508,13K412_2016,BROOKLYN COMMUNITY ARTS & MEDIA HIGH SCHOOL BCAM,65.1
11549,13K419_2016,SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE TECH,77.7
11601,13K430_2016,BROOKLYN TECHNICAL HIGH SCHOOL,95.5
11653,13K439_2016,BROOKLYN INTERNATIONAL HIGH SCHOOL,80.2
11705,13K483_2016,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,93.3
11751,13K499_2016,ACORN COMMUNITY HIGH SCHOOL,68.5
11845,13K527_2016,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR Y,68.3
11873,13K553_2016,BROOKLYN ACADEMY HIGH SCHOOL,16.4
11925,13K575_2016,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,24.5
11977,13K595_2016,BEDFORD ACADEMY HIGH SCHOOL,97.7
12026,13K605_2016,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION,75.0
12078,13K616_2016,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY,15.4
12120,13K670_2016,BENJAMIN BANNEKER ACADEMY,94.2
12168,13K674_2016,CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING ARCHIT,81.3
12196,14K071_2016,JUAN MOREL CAMPOS SECONDARY SCHOOL,45.1
12248,14K322_2016,FOUNDATIONS ACADEMY,50.0
12293,14K449_2016,BROOKLYN LATIN SCHOOL THE,94.0
12326,14K454_2016,THE WILLIAMSBURG HIGH SCHOOL OF ART AND TECHNOLOGY,69.6
12369,14K474_2016,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,65.0
12422,14K477_2016,EAST WILLIAMSBURG SCHOLARS ACADEMY,56.3
12474,14K478_2016,THE HIGH SCHOOL FOR ENTERPRISE BUSINESS AND TECHNO,78.5
12527,14K488_2016,BROOKLYN PREPARATORY HIGH SCHOOL,86.0
12571,14K558_2016,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESI,94.1
12621,14K561_2016,WILLIAMSBURG PREPARATORY SCHOOL,88.4
12666,14K586_2016,LYONS COMMUNITY SCHOOL,64.5
12703,14K610_2016,AUTOMOTIVE HIGH SCHOOL,57.0
12749,14K614_2016,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,100.0
12764,14K632_2016,FRANCES PERKINS ACADEMY,63.6
12812,14K685_2016,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,77.3
12873,15K423_2016,BROOKLYN FRONTIERS HIGH SCHOOL,17.0
12890,15K429_2016,DIGITAL ARTS AND CINEMA TECHNOLOGY HIGH SCHOOL,76.7
12942,15K448_2016,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIE,88.7
12991,15K462_2016,JOHN JAY SCHOOL FOR LAW,79.7
13043,15K463_2016,SECONDARY SCHOOL FOR JOURNALISM,69.8
13095,15K464_2016,PARK SLOPE COLLEGIATE,78.5
13146,15K497_2016,THE BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES,67.2
13198,15K519_2016,COBBLE HILL SCHOOL OF AMERICAN STUDIES,79.1
13281,15K529_2016,WEST BROOKLYN COMMUNITY HIGH SCHOOL,11.1
13369,15K592_2016,KHALIL GIBRAN INTERNATIONAL ACADEMY,67.3
13394,15K656_2016,BROOKLYN HIGH SCHOOL OF THE ARTS,80.0
13445,15K667_2016,SUNSET PARK HIGH SCHOOL,63.9
13473,15K684_2016,MILLENNIUM BROOKLYN HS,97.5
13494,15K698_2016,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,10.8
13546,16K393_2016,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,47.4
13589,16K455_2016,BOYS AND GIRLS HIGH SCHOOL,49.2
13641,16K498_2016,BROOKLYN HS FOR LAW AND TECHNOLOGY,66.0
13692,16K594_2016,GOTHAM PROFESSIONAL ARTS ACADEMY,52.8
13723,16K669_2016,RESEARCH AND SERVICE HIGH SCHOOL,18.3
13746,16K688_2016,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,61.5
13772,16K765_2016,NELSON MANDELA HIGH SCHOOL,
13779,17K122_2016,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL P,57.7
13796,17K382_2016,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORA,55.8
13836,17K408_2016,ACADEMY OF HOSPITALITY AND TOURISM,46.6
13938,17K489_2016,WEB DUBOIS ACADEMIC HIGH SCHOOL,10.0
13990,17K524_2016,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,69.6
14040,17K528_2016,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,57.9
14089,17K531_2016,SCHOOL FOR HUMAN RIGHTS THE,67.9
14138,17K533_2016,SCHOOL FOR DEMOCRACY AND LEADERSHIP,45.9
14184,17K537_2016,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT,75.8
14233,17K539_2016,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,73.6
14283,17K543_2016,SCIENCE TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH,94.9
14378,17K546_2016,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,93.3
14424,17K547_2016,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,72.6
14473,17K548_2016,BROOKLYN SCHOOL FOR MUSIC & THEATRE,85.7
14525,17K568_2016,BROWNSVILLE ACADEMY HIGH SCHOOL,19.3
14577,17K590_2016,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,93.6
14629,17K600_2016,CLARA BARTON HIGH SCHOOL,66.3
14721,17K745_2016,BROOKLYN INSTITUTE FOR LIBERAL ARTS,90.6
14735,17K751_2016,ACADEMY FOR HEALTH CAREERS,72.2
14843,18K563_2016,IT TAKES A VILLAGE ACADEMY,86.4
14883,18K566_2016,BROOKLYN GENERATION SCHOOL,61.5
14924,18K567_2016,BROOKLYN THEATRE ARTS HIGH SCHOOL,59.1
14959,18K569_2016,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,69.4
14998,18K576_2016,VICTORY COLLEGIATE HIGH SCHOOL,69.9
15039,18K578_2016,BROOKLYN BRIDGE ACADEMY,15.3
15083,18K589_2016,ARTS & MEDIA PREPARATORY ACADEMY,67.3
15118,18K617_2016,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDI,70.7
15151,18K629_2016,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,61.7
15185,18K633_2016,HIGH SCHOOL FOR MEDICAL PROFESSIONS,85.6
15214,18K635_2016,OLYMPUS ACADEMY,9.5
15254,18K637_2016,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,78.8
15285,18K642_2016,URBAN ACTION ACADEMY,62.7
15320,18K673_2016,EAST BROOKLYN COMMUNITY HIGH SCHOOL,27.0
15360,19K404_2016,ACADEMY FOR YOUNG WRITERS,88.7
15403,19K409_2016,EAST NEW YORK FAMILY ACADEMY,86.2
15503,19K502_2016,FDNY  CAPTAIN VERNON A RICHARDS HIGH SCHOOL FOR FI,79.2
15552,19K504_2016,HIGH SCHOOL FOR CIVIL RIGHTS,47.4
15601,19K507_2016,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,72.2
15650,19K510_2016,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHO,73.9
15702,19K583_2016,MULTICULTURAL HIGH SCHOOL,60.9
15736,19K615_2016,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH S,65.4
15787,19K618_2016,ACADEMY OF INNOVATIVE TECHNOLOGY,71.3
15823,19K639_2016,BROOKLYN LAB SCHOOL,58.0
15856,19K659_2016,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,73.2
15898,19K660_2016,W H MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SC,60.4
15948,19K683_2016,THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS WR,51.4
15974,19K764_2016,THE URBAN ASSEMBLY SCHOOL FOR COLLABORATIVE HEALTH,
15987,20K445_2016,NEW UTRECHT HIGH SCHOOL,70.1
16039,20K485_2016,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLO,82.3
16091,20K490_2016,FORT HAMILTON HIGH SCHOOL,72.9
16143,20K505_2016,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,58.0
16193,20K609_2016,URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,93.7
16221,21K337_2016,INTERNATIONAL HS AT LAFAYETTE,66.2
16261,21K344_2016,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,74.3
16307,21K348_2016,HIGH SCHOOL OF SPORTS MANAGEMENT,66.1
16371,21K410_2016,ABRAHAM LINCOLN HIGH SCHOOL,59.6
16419,21K468_2016,KINGSBOROUGH EARLY COLLEGE SCHOOL,95.1
16444,21K525_2016,EDWARD R MURROW HIGH SCHOOL,78.2
16496,21K540_2016,JOHN DEWEY HIGH SCHOOL,68.6
16547,21K559_2016,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,94.7
16585,21K572_2016,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADER,92.3
16628,21K620_2016,WILLIAM E GRADY CAREER AND TECHNICAL EDUCATION HIG,44.3
16680,21K690_2016,BROOKLYN STUDIO SECONDARY SCHOOL,76.1
16732,21K728_2016,LIBERATION DIPLOMA PLUS,13.0
16780,22K405_2016,MIDWOOD HIGH SCHOOL,88.0
16832,22K425_2016,JAMES MADISON HIGH SCHOOL,77.2
16882,22K495_2016,SHEEPSHEAD BAY HS,64.7
16934,22K535_2016,LEON M GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,95.1
16985,22K555_2016,BROOKLYN COLLEGE ACADEMY,95.9
17047,22K611_2016,ORIGINS HIGH SCHOOL,
17055,22K630_2016,PROFESSIONAL PATHWAYS HIGH SCHOOL,19.6
17079,23K493_2016,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,67.4
17128,23K514_2016,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55.6
17178,23K643_2016,BROOKLYN DEMOCRACY ACADEMY,9.7
17214,23K644_2016,EAGLE ACADEMY FOR YOUNG MEN II,73.2
17257,23K646_2016,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,11.6
17300,23K647_2016,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,20.8
17343,23K697_2016,TEACHERS PREPARATORY HIGH SCHOOL,64.8
17385,24Q236_2016,INTERNATIONAL HIGH SCHOOL FOR HEALTH SCIENCES,
17398,24Q264_2016,ACADEMY OF FINANCE AND ENTERPRISE,91.1
17441,24Q267_2016,HIGH SCHOOL OF APPLIED COMMUNICATION,79.6
17479,24Q293_2016,CIVIC LEADERSHIP ACADEMY,90.2
17507,24Q296_2016,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,72.9
17544,24Q299_2016,BARD HIGH SCHOOL EARLY COLLEGE QUEENS,97.4
17585,24Q455_2016,NEWTOWN HIGH SCHOOL,66.0
17636,24Q485_2016,GROVER CLEVELAND HIGH SCHOOL,59.3
17689,24Q520_2016,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY,78.6
17741,24Q530_2016,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY C,85.6
17793,24Q550_2016,HIGH SCHOOL FOR ARTS AND BUSINESS,88.9
17845,24Q560_2016,ROBERT F WAGNER JR SECONDARY SCHOOL FOR ARTS AND T,86.5
17891,24Q585_2016,MASPETH HIGH SCHOOL,99.2
17909,24Q600_2016,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,81.1
17963,24Q610_2016,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,89.3
18015,24Q744_2016,VOYAGES PREPARATORY,4.6
18050,25Q240_2016,VERITAS ACADEMY,
18060,25Q252_2016,QUEENS SCHOOL OF INQUIRY THE,97.3
18089,25Q263_2016,FLUSHING INTERNATIONAL HIGH SCHOOL,70.2
18132,25Q281_2016,EASTWEST SCHOOL OF INTERNATIONAL STUDIES,96.5
18172,25Q285_2016,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHO,89.2
18212,25Q425_2016,JOHN BOWNE HIGH SCHOOL,69.7
18264,25Q460_2016,FLUSHING HIGH SCHOOL,56.2
18316,25Q525_2016,TOWNSEND HARRIS HIGH SCHOOL,100.0
18365,25Q540_2016,QUEENS ACADEMY HIGH SCHOOL,13.0
18417,25Q670_2016,ROBERT F KENNEDY COMMUNITY HIGH SCHOOL,82.4
18469,25Q792_2016,NORTH QUEENS COMMUNITY HIGH SCHOOL,4.2
18519,26Q415_2016,BENJAMIN N CARDOZO HIGH SCHOOL,87.1
18571,26Q430_2016,FRANCIS LEWIS HIGH SCHOOL,82.6
18623,26Q435_2016,MARTIN VAN BUREN HIGH SCHOOL,63.2
18676,26Q495_2016,BAYSIDE HIGH SCHOOL,92.8
18729,26Q566_2016,QUEENS HIGH SCHOOL OF TEACHING LIBERAL ARTS AND TH,89.4
18778,27Q260_2016,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,60.4
18819,27Q261_2016,VOYAGES PREP  SOUTH QUEENS,19.2
18844,27Q262_2016,CHANNEL VIEW SCHOOL FOR RESEARCH,91.1
18886,27Q302_2016,QUEENS HIGH SCHOOL FOR INFORMATION RESEARCH AND TE,67.1
18920,27Q308_2016,ROBERT H GODDARD HIGH SCHOOL OF COMMUNICATION ARTS,88.1
18946,27Q309_2016,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCH,65.6
18973,27Q323_2016,SCHOLARS' ACADEMY,100.0
19000,27Q324_2016,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAI,62.1
19026,27Q351_2016,ROCKAWAY COLLEGIATE HIGH SCHOOL,61.4
19048,27Q400_2016,AUGUST MARTIN HIGH SCHOOL,28.8
19168,27Q475_2016,RICHMOND HILL HIGH SCHOOL,59.1
19220,27Q480_2016,JOHN ADAMS HIGH SCHOOL,61.8
19271,27Q650_2016,HIGH SCHOOL FOR CONSTRUCTION TRADES ENGINEERING AN,94.5
19301,28Q167_2016,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,100.0
19310,28Q284_2016,YORK EARLY COLLEGE ACADEMY,93.8
19333,28Q310_2016,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,75.3
19364,28Q325_2016,HILLSIDE ARTS & LETTERS ACADEMY,78.5
19382,28Q328_2016,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,83.0
19406,28Q338_2016,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,2.1
19441,28Q350_2016,JAMAICA GATEWAY TO THE SCIENCES,88.6
19470,28Q440_2016,FOREST HILLS HIGH SCHOOL,83.9
19562,28Q505_2016,HILLCREST HIGH SCHOOL,66.7
19614,28Q620_2016,THOMAS A EDISON CAREER AND TECHNICAL EDUCATION HIG,90.0
19666,28Q680_2016,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,94.4
19715,28Q686_2016,QUEENS METROPOLITAN HIGH SCHOOL,90.4
19745,28Q687_2016,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEG,98.1
19793,28Q690_2016,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,80.3
19841,28Q896_2016,YOUNG WOMEN'S LEADERSHIP SCHOOL QUEENS,96.9
19866,29Q243_2016,INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHT,
19881,29Q248_2016,QUEENS PREPARATORY ACADEMY,70.7
19926,29Q259_2016,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOA,71.4
19969,29Q265_2016,EXCELSIOR PREPARATORY HIGH SCHOOL,76.1
20015,29Q272_2016,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIEN,84.0
20067,29Q283_2016,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD S,79.6
20108,29Q326_2016,CAMBRIA HEIGHTS ACADEMY,68.3
20156,29Q492_2016,MATHEMATICS SCIENCE RESEARCH AND TECHNOLOGY MAGNET,67.9
20206,29Q494_2016,LAW GOVERNMENT AND COMMUNITY SERVICE HS,78.7
20256,29Q496_2016,BUSINESS COMPUTER APPLICATIONS & ENTREPRENEURSHIP,67.5
20308,29Q498_2016,HUMANITIES & ARTS MAGNET HIGH SCHOOL,79.8
20358,30Q286_2016,YOUNG WOMEN'S LEADERSHIP SCHOOL ASTORIA,96.1
20380,30Q301_2016,ACADEMY FOR CAREERS IN TELEVISION AND FILM,96.9
20409,30Q445_2016,WILLIAM CULLEN BRYANT HIGH SCHOOL,67.5
20461,30Q450_2016,LONG ISLAND CITY HIGH SCHOOL,60.5
20513,30Q501_2016,FRANK SINATRA SCHOOL OF THE ARTS HS,96.5
20565,30Q502_2016,INFORMATION TECHNOLOGY HIGH SCHOOL,70.8
20617,30Q555_2016,NEWCOMERS HIGH SCHOOL,74.4
20669,30Q575_2016,ACADEMY OF AMERICAN STUDIES,89.2
20721,30Q580_2016,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,100.0
20770,31R047_2016,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,100.0
20808,31R064_2016,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,90.3
20838,31R080_2016,THE MICHAEL J PETRIDES SCHOOL,89.9
20890,31R440_2016,NEW DORP HIGH SCHOOL,78.2
20942,31R445_2016,PORT RICHMOND HIGH SCHOOL,58.2
20994,31R450_2016,CURTIS HIGH SCHOOL,73.2
21046,31R455_2016,TOTTENVILLE HIGH SCHOOL,86.0
21098,31R460_2016,SUSAN E WAGNER HIGH SCHOOL,83.2
21149,31R470_2016,CONCORD HIGH SCHOOL,20.4
21201,31R600_2016,RALPH R MCKEE CAREER AND TECHNICAL EDUCATION HIGH,67.1
21253,31R605_2016,STATEN ISLAND TECHNICAL HIGH SCHOOL,99.7
21300,32K168_2016,THE BROOKLYN SCHOOL FOR MATH AND RESEARCH,77.6
21324,32K403_2016,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,70.0
21376,32K545_2016,EBC HIGH SCHOOL FOR PUBLIC SERVICE  BUSHWICK,70.2
21428,32K549_2016,THE BROOKLYN SCHOOL FOR SOCIAL JUSTICE,68.7
21477,32K552_2016,THE ACADEMY OF URBAN PLANNING AND ENGINEERING,68.0
21531,32K554_2016,ALL CITY LEADERSHIP SECONDARY SCHOOL,100.0
21578,32K556_2016,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLEN,74.3
21627,32K564_2016,BUSHWICK COMMUNITY HIGH SCHOOL,19.0
9,01M292_2017,ORCHARD COLLEGIATE ACADEMY,66.7
56,01M448_2017,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,89.7
108,01M450_2017,EAST SIDE COMMUNITY SCHOOL,89.9
158,01M458_2017,FORSYTH SATELLITE ACADEMY,14.9
195,01M509_2017,MARTA VALLE HIGH SCHOOL,66.1
247,01M515_2017,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,35.8
299,01M539_2017,NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY AND MATH,92.9
352,01M650_2017,CASCADES HIGH SCHOOL,23.6
404,01M696_2017,BARD HIGH SCHOOL EARLY COLLEGE,94.7
456,02M047_2017,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,91.4
501,02M135_2017,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,67.0
506,02M139_2017,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIG,82.7
511,02M282_2017,URBAN ASSEMBLY MAKER ACADEMY,
521,02M288_2017,FOOD AND FINANCE HIGH SCHOOL,88.4
574,02M294_2017,ESSEX STREET ACADEMY,82.5
622,02M296_2017,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58.8
662,12X278_2017,PEACE AND DIVERSITY ACADEMY,0.0
670,02M298_2017,PACE HIGH SCHOOL,79.3
719,02M300_2017,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION T,57.6
769,02M303_2017,FACING HISTORY SCHOOL THE,66.3
812,02M305_2017,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW THE,77.6
855,02M308_2017,LOWER MANHATTAN ARTS ACADEMY,76.6
899,02M313_2017,JAMES BALDWIN SCHOOL THE: A SCHOOL FOR EXPEDITIONA,36.8
949,02M316_2017,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,71.2
995,02M374_2017,GRAMERCY ARTS HIGH SCHOOL,77.3
1034,02M376_2017,NYC ISCHOOL,98.1
1058,02M392_2017,MANHATTAN BUSINESS ACADEMY,84.6
1083,02M393_2017,BUSINESS OF SPORTS SCHOOL,78.1
1110,02M394_2017,EMMA LAZARUS HIGH SCHOOL,45.4
1147,02M399_2017,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,80.0
1176,02M400_2017,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,76.7
1228,02M407_2017,INSTITUTE FOR COLLABORATIVE EDUCATION,81.7
1279,02M408_2017,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,91.8
1332,02M411_2017,BARUCH COLLEGE CAMPUS HIGH SCHOOL,100.0
1384,02M412_2017,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,96.7
1436,02M413_2017,SCHOOL OF THE FUTURE HIGH SCHOOL,98.0
1488,02M414_2017,NYC MUSEUM SCHOOL,100.0
1540,02M416_2017,ELEANOR ROOSEVELT HIGH SCHOOL,98.6
1593,02M418_2017,MILLENNIUM HIGH SCHOOL,99.3
1641,02M419_2017,LANDMARK HIGH SCHOOL,60.0
1693,02M420_2017,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI,87.9
1740,02M422_2017,QUEST TO LEARN,82.1
1757,02M425_2017,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,66.0
1805,02M427_2017,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,50.0
1875,02M432_2017,MURRAY HILL ACADEMY,79.7
1895,02M437_2017,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,65.3
1917,02M438_2017,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,59.0
1946,02M439_2017,MANHATTAN VILLAGE ACADEMY,96.6
2045,02M449_2017,VANGUARD HIGH SCHOOL,72.4
2097,02M459_2017,MANHATTAN INTERNATIONAL HIGH SCHOOL,72.2
2196,02M475_2017,STUYVESANT HIGH SCHOOL,96.3
2248,02M489_2017,HIGH SCHOOL OF ECONOMICS AND FINANCE,86.1
2300,02M500_2017,UNITY CENTER FOR URBAN TECHNOLOGIES,76.7
2347,02M507_2017,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,82.7
2372,02M519_2017,TALENT UNLIMITED HIGH SCHOOL,96.8
2424,02M520_2017,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,53.7
2476,02M529_2017,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,58.4
2528,02M531_2017,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,94.4
2575,02M533_2017,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,76.9
2587,02M534_2017,HARVEST COLLEGIATE HIGH SCHOOL,86.5
2618,02M542_2017,MANHATTAN BRIDGES HIGH SCHOOL,81.3
2667,02M543_2017,NEW DESIGN HIGH SCHOOL,91.5
2719,02M544_2017,INDEPENDENCE HIGH SCHOOL,17.8
2772,02M545_2017,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,100.0
2811,02M546_2017,ACADEMY FOR SOFTWARE ENGINEERING,83.3
2824,02M550_2017,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,29.5
2876,02M551_2017,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77.4
2925,02M560_2017,HIGH SCHOOL M560  CITY AS SCHOOL,31.3
2977,02M565_2017,URBAN ACADEMY LABORATORY HIGH SCHOOL,48.8
3028,02M570_2017,SATELLITE ACADEMY HIGH SCHOOL,13.7
3080,02M575_2017,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,11.4
3132,02M580_2017,RICHARD R GREEN HIGH SCHOOL OF TEACHING,62.1
3184,02M586_2017,HARVEY MILK HIGH SCHOOL,13.8
3236,02M600_2017,THE HIGH SCHOOL OF FASHION INDUSTRIES,89.1
3288,02M605_2017,HUMANITIES PREPARATORY ACADEMY,71.7
3341,02M615_2017,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,71.7
3490,02M630_2017,ART AND DESIGN HIGH SCHOOL,81.0
3542,02M655_2017,LIFE SCIENCES SECONDARY SCHOOL,48.4
3626,03M479_2017,BEACON HIGH SCHOOL,99.6
3661,03M299_2017,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,67.0
3704,03M307_2017,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES THE,77.1
3747,03M402_2017,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,79.3
3770,03M403_2017,THE GLOBAL LEARNING COLLABORATIVE,69.5
3799,03M404_2017,INNOVATION DIPLOMA PLUS,9.2
