,ID,School Name,Total Grads % of cohort
5237,06M423_2015,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,23.4
5267,06M462_2015,THE COLLEGE ACADEMY,45.9
5319,06M463_2015,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,50.4
5372,06M467_2015,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,62.5
5424,06M468_2015,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,65.4
5476,06M540_2015,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,75.0
5528,06M552_2015,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHE,68.8
5581,07X221_2015,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,92.3
5648,07X334_2015,INTERNATIONAL COMMUNITY HIGH SCHOOL,52.7
5683,07X379_2015,JILL CHAIFETZ TRANSFER HIGH SCHOOL,19.5
5731,07X381_2015,BRONX HAVEN HS,11.5
5775,07X427_2015,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,54.8
5832,07X473_2015,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,45.5
5884,07X495_2015,UNIVERSITY HEIGHTS SECONDARY SCHOOL,89.6
5936,07X500_2015,HOSTOSLINCOLN ACADEMY OF SCIENCE,78.9
5990,07X520_2015,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,38.6
6038,07X522_2015,BRONX DESIGN AND CONSTRUCTION ACADEMY,39.8
6063,07X527_2015,BRONX LEADERSHIP ACADEMY II HS,57.9
6111,07X547_2015,NEW EXPLORERS HIGH SCHOOL,54.5
6164,07X548_2015,CAREERS IN SPORTS HIGH SCHOOL,74.5
6216,07X551_2015,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,58.5
6261,07X557_2015,MOTT HAVEN COMMUNITY HIGH SCHOOL,15.0
6290,07X600_2015,ALFRED E SMITH CAREER AND TECHNICAL EDUCATION HIGH,63.0
6338,07X655_2015,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HS,46.8
6389,07X670_2015,HEALTH OPPORTUNITIES HIGH SCHOOL,57.9
6439,08X269_2015,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,59.1
6467,08X282_2015,WOMEN'S ACADEMY OF EXCELLENCE,57.0
6510,08X293_2015,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECH,72.1
6558,08X295_2015,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECH,48.7
6585,08X305_2015,PABLO NERUDA ACADEMY,53.0
6659,08X312_2015,MILLENNIUM ART ACADEMY,60.5
6718,08X332_2015,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,59.5
6769,08X367_2015,ARCHIMEDES ACADEMY FOR MATH SCIENCE AND TECHNOLOGY,54.7
6793,08X376_2015,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOA,61.8
6818,08X377_2015,BRONX COMMUNITY HIGH SCHOOL,17.3
6866,08X405_2015,HERBERT H LEHMAN HIGH SCHOOL,34.5
6913,08X432_2015,BRONX BRIDGES HIGH SCHOOL,48.8
6955,08X452_2015,GOTHAM COLLABORATIVE HIGH SCHOOL,57.4
7007,08X519_2015,FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUB,39.4
7056,08X530_2015,LONGWOOD PREPARATORY ACADEMY,42.5
7105,08X537_2015,BRONX ARENA HIGH SCHOOL,3.6
7183,08X559_2015,SCHOOL FOR TOURISM AND HOSPITALITY,
7190,08X650_2015,JANE ADDAMS HS FOR ACADEMIC CAREERS,55.2
7241,08X561_2015,BRONX COMPASS HIGH SCHOOL,
7327,09X227_2015,BRONX COLLEGIATE ACADEMY,50.0
7377,09X231_2015,EAGLE ACADEMY FOR YOUNG MEN,63.8
7459,09X241_2015,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,83.1
7492,09X250_2015,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOA,82.6
7538,09X252_2015,MOTT HALL BRONX HIGH SCHOOL,78.9
7581,09X260_2015,BRONX CENTER FOR SCIENCE AND MATHEMATICS,90.1
7624,09X263_2015,VALIDUS PREPARATORY ACADEMY,55.7
7667,09X276_2015,LEADERSHIP INSTITUTE,28.6
7711,09X297_2015,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,64.3
7759,09X324_2015,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNIN,93.3
7778,09X327_2015,COMPREHENSIVE MODEL SCHOOL PROJECT MS 327,
7796,09X329_2015,DREAMYARD PREPARATORY SCHOOL,58.6
